Vehicle_ID,EV_Type,State,City,Registration_Date,Daily_KM_Travelled,Battery_Capacity_kWh,Charging_Frequency_Per_Week
VH-00497,E-Cargo,Gujarat,Ahmedabad,2024-12-05,71.4,48.2,2.0
VH-01159,E-Bus,West Bengal,Siliguri,2022-06-04,86.0,211.6,4.0
VH-01144,2W-Electric,Maharashtra,Pune,2023-09-15,76.2,2.1,7.0
VH-00472,3W-Electric,Rajasthan,Jodhpur,2023-10-18,47.5,6.7,6.0
VH-00068,3W-Electric,Maharashtra,Pune,2021-05-21,54.9,6.7,6.0
VH-00072,4W-Electric,Kerala,Kollam,2022-06-19,82.8,40.6,3.0
VH-00371,E-Cargo,Karnataka,Hubli,2023-02-11,31.4,57.6,7.0
VH-00850,2W-Electric,Tamil Nadu,Vellore,2024-12-22,31.5,2.0,7.0
VH-01123,E-Bus,Haryana,Panipat,2023-09-15,32.9,165.7,6.0
VH-00336,E-Cargo,Tamil Nadu,Salem,2024-12-12,60.6,56.3,3.0
VH-00815,3W-Electric,Telangana,Nizamabad,2022-12-26,71.6,6.0,3.0
VH-00084,E-Cargo,Madhya Pradesh,Gwalior,2023-09-28,105.8,53.8,4.0
VH-00400,E-Bus,Telangana,Khammam,2021-05-09,57.0,181.8,2.0
VH-01107,E-Cargo,Delhi,Gurugram,2023-08-25,760.7132062013,49.7,7.0
VH-00306,E-Cargo,Punjab,Ludhiana,2022-03-17,103.7,57.9,5.0
VH-00923,E-Bus,Madhya Pradesh,Bhopal,2021-05-11,90.9,204.8,4.0
VH-00059,2W-Electric,Punjab,Patiala,2021-04-14,36.1,2.5,7.0
VH-00757,E-Bus,Maharashtra,Mumbai,2023-11-04,35.1,161.0,4.0
VH-00406,E-Cargo,West Bengal,Siliguri,2023-11-06,86.4,64.0,6.0
VH-00616,2W-Electric,Maharashtra,Nagpur,2023-10-21,42.0,,5.0
VH-00634,2W-Electric,Rajasthan,Jaipur,2021-01-11,49.8,2.1,4.0
VH-00864,E-Cargo,Telangana,Khammam,2022-06-28,37.2,53.9,7.0
VH-00881,E-Cargo,Kerala,Kollam,2024-10-19,75.4,68.4,6.0
VH-00673,E-Cargo,Punjab,Amritsar,2023-09-17,91.4,67.7,4.0
VH-00233,3W-Electric,Uttar Pradesh,Agra,2024-11-29,75.5,7.7,3.0
VH-00287,E-Cargo,Gujarat,Bhavnagar,2021-02-13,4.9,49.9,2.0
VH-00553,3W-Electric,Delhi,New Delhi,2024-03-30,51.4,6.1,2.0
VH-00319,2W-Electric,Kerala,Kollam,2024-06-01,23.4,2.7,7.0
VH-00071,E-Bus,Kerala,Kochi,2024-09-08,83.1,189.4,6.0
VH-00008,4W-Electric,Telangana,Karimnagar,2021-11-15,74.0,36.7,3.0
VH-01116,2W-Electric,Rajasthan,Jodhpur,2024-10-01,67.7,2.5,3.0
VH-00937,E-Cargo,Rajasthan,Udaipur,2022-08-26,52.9,56.5,5.0
VH-00544,E-Cargo,Punjab,Amritsar,2021-06-17,41.2,59.5,6.0
VH-00580,E-Cargo,Telangana,Khammam,2021-10-02,43.5,62.2,5.0
VH-00488,4W-Electric,Rajasthan,Ajmer,2021-11-29,61.1,42.5,5.0
VH-00456,E-Cargo,Madhya Pradesh,Gwalior,2023-12-29,38.9,54.9,2.0
VH-01197,E-Cargo,Madhya Pradesh,Jabalpur,2021-01-14,61.6,,6.0
VH-00944,3W-Electric,Uttar Pradesh,Agra,2022-10-04,75.3,7.5,7.0
VH-00889,2W-Electric,Punjab,Jalandhar,2023-04-29,40.8,2.7,3.0
VH-00998,3W-Electric,Haryana,Ambala,2021-06-03,60.4,7.0,5.0
VH-00147,E-Bus,Rajasthan,Udaipur,2022-07-24,29.1,199.3,5.0
VH-00102,E-Cargo,West Bengal,Asansol,2022-11-10,56.9,59.8,2.0
VH-00477,E-Cargo,Uttar Pradesh,Agra,2021-01-17,65.9,69.3,2.0
VH-01146,E-Cargo,Madhya Pradesh,Jabalpur,2023-05-12,57.8,56.6,4.0
VH-00380,3W-Electric,Haryana,Yamunanagar,2023-06-16,52.4,6.5,2.0
VH-00288,3W-Electric,Punjab,Chandigarh,2021-09-15,,8.9,6.0
VH-00334,4W-Electric,Gujarat,Surat,2022-08-16,74.5,42.3,4.0
VH-00967,E-Bus,Kerala,Thiruvananthapuram,2021-08-03,63.6,232.2,6.0
VH-00376,3W-Electric,Gujarat,Surat,2021-11-14,53.6,6.5,2.0
VH-00432,E-Bus,Kerala,Thiruvananthapuram,2023-01-30,67.7,199.2,4.0
VH-00120,3W-Electric,Madhya Pradesh,Gwalior,2022-02-12,55.1,7.9,3.0
VH-00280,E-Cargo,Rajasthan,Bikaner,2023-05-09,28.8,61.7,6.0
VH-00408,4W-Electric,Telangana,Karimnagar,2021-02-03,71.1,38.1,4.0
VH-00875,E-Cargo,Gujarat,Vadodara,2021-05-07,32.8,65.5,3.0
VH-00822,E-Bus,Uttar Pradesh,Meerut,2022-12-06,84.1,160.4,6.0
VH-01049,E-Cargo,Telangana,Karimnagar,2022-06-26,18.9,66.1,3.0
VH-00793,E-Bus,West Bengal,Howrah,2021-06-03,66.6,195.2,6.0
VH-00968,2W-Electric,Andhra Pradesh,Kurnool,2022-08-02,73.0,2.6,2.0
VH-00966,E-Cargo,Madhya Pradesh,Bhopal,2022-07-07,37.7,49.2,6.0
VH-00224,3W-Electric,Uttar Pradesh,Lucknow,2023-10-18,61.2,8.8,7.0
VH-00388,2W-Electric,Andhra Pradesh,Kurnool,2022-08-07,90.3,2.9,2.0
VH-00663,4W-Electric,Karnataka,Mysuru,2021-12-07,82.9,47.4,7.0
VH-00264,E-Bus,Maharashtra,Aurangabad,2021-03-10,11.2,219.8,
VH-00285,2W-Electric,West Bengal,Durgapur,2023-03-27,38.4,2.2,4.0
VH-00585,E-Cargo,Gujarat,Gandhinagar,2022-03-21,61.5,52.3,5.0
VH-00357,E-Cargo,Kerala,Kollam,2023-02-27,71.1,,5.0
VH-00046,2W-Electric,Gujarat,Surat,2022-11-24,25.1,2.8,2.0
VH-00182,3W-Electric,Gujarat,Vadodara,2022-09-12,54.8,7.6,2.0
VH-00273,E-Cargo,Madhya Pradesh,Gwalior,2023-02-20,59.4,50.9,7.0
VH-00130,E-Bus,Haryana,Ambala,2022-06-15,29.6,166.8,3.0
VH-00159,E-Bus,Rajasthan,Ajmer,2024-09-16,45.3,236.9,4.0
VH-00559,3W-Electric,Madhya Pradesh,Ujjain,2024-08-31,91.2,6.1,4.0
VH-00602,E-Bus,Punjab,Ludhiana,2021-10-09,81.0,229.5,7.0
VH-00577,E-Cargo,Telangana,Warangal,2023-08-28,23.8,71.7,3.0
VH-00665,4W-Electric,Madhya Pradesh,Jabalpur,2023-06-01,64.4,32.7,2.0
VH-01184,E-Bus,Delhi,Faridabad,2023-02-12,51.4,178.3,6.0
VH-00615,E-Bus,Telangana,Khammam,2021-04-25,60.5,237.6,7.0
VH-00574,E-Bus,Tamil Nadu,Vellore,2024-02-13,52.8,218.2,5.0
VH-00127,E-Cargo,Punjab,Jalandhar,2024-02-19,37.1,48.7,6.0
VH-00266,E-Bus,Rajasthan,Bikaner,2021-12-26,35.2,231.6,3.0
VH-00684,3W-Electric,Punjab,Patiala,2023-01-20,39.6,7.2,4.0
VH-00892,4W-Electric,Rajasthan,Kota,2023-02-24,53.8,44.6,7.0
VH-00655,2W-Electric,Madhya Pradesh,Ujjain,2023-08-04,16.8,2.8,7.0
VH-01149,2W-Electric,Punjab,Patiala,2023-05-22,26.9,2.2,3.0
VH-00386,E-Cargo,Tamil Nadu,Coimbatore,2021-10-11,36.3,69.5,4.0
VH-00503,E-Cargo,Tamil Nadu,Salem,2022-12-03,79.2,71.1,6.0
VH-00665,4W-Electric,Madhya Pradesh,Jabalpur,2023-06-01,64.4,32.7,2.0
VH-00105,E-Bus,Andhra Pradesh,Guntur,2024-05-26,52.5,211.6,6.0
VH-00158,2W-Electric,Haryana,Yamunanagar,2024-03-05,56.4,2.4,2.0
VH-00917,E-Cargo,Gujarat,Vadodara,2022-09-18,58.8,50.0,7.0
VH-00659,E-Bus,Andhra Pradesh,Tirupati,2021-06-01,35.6,174.5,5.0
VH-00213,4W-Electric,Karnataka,Mysuru,2023-04-24,735.733482630746,,7.0
VH-00702,E-Cargo,Delhi,Dwarka,2022-08-15,67.6,60.9,3.0
VH-00654,E-Cargo,Kerala,Thiruvananthapuram,2024-01-23,35.3,55.4,3.0
VH-00946,E-Cargo,Punjab,Amritsar,2021-11-21,28.7,70.5,
VH-00038,2W-Electric,Uttar Pradesh,Lucknow,2023-01-14,53.5,2.7,4.0
VH-01153,E-Bus,West Bengal,Kolkata,2024-09-02,47.6,177.0,3.0
VH-00551,E-Bus,West Bengal,Asansol,2024-02-29,37.5,204.8,2.0
VH-00240,4W-Electric,Punjab,Chandigarh,2024-06-30,11.6,44.5,7.0
VH-00282,E-Cargo,Haryana,Ambala,2023-04-16,57.5,53.7,4.0
VH-00117,E-Cargo,Madhya Pradesh,Indore,2023-08-28,61.1,67.4,7.0
VH-00092,4W-Electric,Punjab,Ludhiana,2022-03-07,30.7,43.1,7.0
VH-00862,E-Cargo,Telangana,Warangal,2023-06-09,43.5,63.8,3.0
VH-00366,2W-Electric,Madhya Pradesh,Gwalior,2022-11-07,58.1,2.2,2.0
VH-00764,E-Bus,Telangana,Hyderabad,2024-06-07,59.1,236.4,6.0
VH-00471,4W-Electric,Haryana,Faridabad,2024-03-29,61.9,43.1,7.0
VH-00811,2W-Electric,Haryana,Gurugram,2021-05-13,91.2,2.3,3.0
VH-00091,2W-Electric,Telangana,Warangal,2022-09-24,58.5,2.1,4.0
VH-00890,E-Cargo,Tamil Nadu,Tiruchirappalli,2024-04-08,56.5,60.3,2.0
VH-01132,2W-Electric,Madhya Pradesh,Ujjain,2024-03-18,55.3,2.3,3.0
VH-00645,3W-Electric,Rajasthan,Udaipur,2024-07-04,83.9,7.1,5.0
VH-00808,3W-Electric,Maharashtra,Mumbai,2021-09-25,25.2,8.5,3.0
VH-00777,3W-Electric,West Bengal,Asansol,2022-10-22,68.6,7.0,
VH-00422,E-Cargo,Kerala,Thiruvananthapuram,2022-08-25,48.3,59.9,4.0
VH-00170,E-Cargo,Andhra Pradesh,Guntur,2021-01-21,46.2,66.1,6.0
VH-00921,E-Cargo,Karnataka,Bengaluru,2024-09-18,31.2,63.2,4.0
VH-00294,3W-Electric,Rajasthan,Jaipur,2022-06-28,87.4,6.8,2.0
VH-00894,E-Bus,Tamil Nadu,Madurai,2021-10-22,44.8,186.4,6.0
VH-01019,3W-Electric,Kerala,Kollam,2023-10-19,56.2,8.2,2.0
VH-00505,4W-Electric,Gujarat,Surat,2024-02-17,58.5,33.6,
VH-01190,2W-Electric,Gujarat,Vadodara,2023-03-29,43.0,2.1,7.0
VH-00453,3W-Electric,Delhi,Dwarka,2022-10-23,21.4,8.3,7.0
VH-00286,E-Bus,Gujarat,Ahmedabad,2021-07-07,44.1,231.7,7.0
VH-00440,4W-Electric,Uttar Pradesh,Lucknow,2024-09-29,65.0,33.9,4.0
VH-00576,E-Bus,Andhra Pradesh,Tirupati,2021-11-02,37.0,189.7,4.0
VH-00833,2W-Electric,Tamil Nadu,Salem,2021-07-04,92.2,2.6,2.0
VH-00368,3W-Electric,Haryana,Yamunanagar,2022-11-14,32.9,6.2,2.0
VH-00441,E-Cargo,Andhra Pradesh,Visakhapatnam,2024-01-16,34.2,49.8,4.0
VH-01102,E-Cargo,Tamil Nadu,Vellore,2021-06-17,59.2,,4.0
VH-00834,3W-Electric,Gujarat,Gandhinagar,2021-02-10,92.7,7.8,6.0
VH-00142,E-Bus,Telangana,Karimnagar,2021-12-05,88.0,208.9,5.0
VH-01029,E-Cargo,Gujarat,Surat,2022-08-19,65.6,58.7,7.0
VH-00745,E-Cargo,Tamil Nadu,Chennai,2023-02-26,24.3,60.2,4.0
VH-00214,E-Bus,Uttar Pradesh,Agra,2024-02-01,84.5,193.5,2.0
VH-00620,E-Cargo,Delhi,Gurugram,2024-09-09,95.1,62.8,2.0
VH-00061,E-Bus,Telangana,Nizamabad,2022-03-14,54.6,237.0,5.0
VH-00985,2W-Electric,Punjab,Amritsar,2021-09-29,84.6,3.0,7.0
VH-01034,4W-Electric,Telangana,Khammam,2023-05-16,70.6,43.0,2.0
VH-00904,3W-Electric,West Bengal,Asansol,2023-12-10,43.6,8.9,6.0
VH-00442,3W-Electric,Delhi,Dwarka,2023-01-11,80.6,8.2,6.0
VH-01017,2W-Electric,Punjab,Jalandhar,2024-07-20,59.1,2.6,7.0
VH-00001,2W-Electric,Madhya Pradesh,Bhopal,2022-07-18,32.8,2.4,3.0
VH-01179,3W-Electric,Haryana,Panipat,2024-05-26,74.8,7.0,3.0
VH-00558,E-Bus,Haryana,Ambala,2021-06-14,39.0,216.5,7.0
VH-00184,3W-Electric,Maharashtra,Aurangabad,2024-07-30,71.1,6.4,5.0
VH-01120,E-Bus,Kerala,Thiruvananthapuram,2024-08-31,61.7,231.1,5.0
VH-00835,4W-Electric,Uttar Pradesh,Lucknow,2024-06-11,42.5,42.8,3.0
VH-00478,4W-Electric,Telangana,Warangal,2023-01-20,76.7,40.8,5.0
VH-00324,E-Bus,West Bengal,Howrah,2023-05-10,66.4,186.8,5.0
VH-00932,3W-Electric,West Bengal,Durgapur,2024-09-08,74.9,6.5,6.0
VH-00962,2W-Electric,Maharashtra,Pune,2021-04-09,42.1,2.5,7.0
VH-00955,E-Cargo,Uttar Pradesh,Allahabad,2024-05-06,50.6,58.1,6.0
VH-00650,3W-Electric,Rajasthan,Ajmer,2023-09-09,62.8,8.8,4.0
VH-00689,4W-Electric,Tamil Nadu,Vellore,2024-06-12,33.0,,6.0
VH-01002,E-Bus,Punjab,Patiala,2021-06-30,41.9,191.6,5.0
VH-01183,4W-Electric,Punjab,Patiala,2024-01-07,47.1,,
VH-00022,2W-Electric,Telangana,Karimnagar,2022-03-09,78.9,2.2,6.0
VH-00949,2W-Electric,Telangana,Hyderabad,2023-12-30,60.5,2.3,3.0
VH-00717,4W-Electric,Gujarat,Surat,2022-05-22,98.1,38.4,7.0
VH-00707,3W-Electric,Karnataka,Shivamogga,2022-09-02,56.5,9.0,2.0
VH-00782,E-Bus,Karnataka,Belagavi,2021-01-17,81.2,190.6,4.0
VH-00067,E-Cargo,Kerala,Thrissur,2023-12-24,61.8,51.5,3.0
VH-01004,2W-Electric,Madhya Pradesh,Bhopal,2023-04-07,51.4,2.7,5.0
VH-01056,E-Cargo,Telangana,Khammam,2023-04-07,31.4,61.0,2.0
VH-00509,E-Bus,Madhya Pradesh,Ujjain,2023-03-20,45.4,187.7,4.0
VH-00992,E-Cargo,West Bengal,Siliguri,2022-04-04,41.6,60.4,7.0
VH-00578,4W-Electric,Haryana,Faridabad,2024-12-20,95.0,43.6,3.0
VH-01124,E-Bus,Maharashtra,Nagpur,2021-12-06,70.6,217.1,3.0
VH-00652,E-Cargo,Andhra Pradesh,Tirupati,2022-05-12,66.1,50.4,4.0
VH-00780,E-Cargo,Tamil Nadu,Coimbatore,2021-04-05,40.8,66.3,5.0
VH-00797,3W-Electric,Gujarat,Ahmedabad,2021-10-06,61.1,6.9,6.0
VH-00316,E-Bus,Gujarat,Surat,2022-04-05,74.0,225.3,2.0
VH-00607,E-Cargo,Maharashtra,Mumbai,2022-07-17,43.2,55.6,6.0
VH-00666,4W-Electric,Maharashtra,Pune,2022-03-31,57.8,,
VH-00766,2W-Electric,Andhra Pradesh,Vijayawada,2021-12-02,,2.4,5.0
VH-00531,3W-Electric,Punjab,Amritsar,2024-06-05,69.2,8.6,7.0
VH-00546,E-Cargo,Karnataka,Bengaluru,2023-11-02,33.1,,3.0
VH-00281,E-Bus,Andhra Pradesh,Vijayawada,2024-09-03,55.6,188.5,2.0
VH-01200,4W-Electric,Punjab,Patiala,2023-03-26,51.9,47.3,3.0
VH-00198,4W-Electric,Maharashtra,Nashik,2024-12-18,70.4,41.3,4.0
VH-00545,4W-Electric,Uttar Pradesh,Meerut,2021-06-09,75.5,41.6,6.0
VH-00970,E-Cargo,Gujarat,Vadodara,2022-02-18,42.0,48.8,4.0
VH-00129,E-Bus,Haryana,Yamunanagar,2021-11-22,66.0,221.6,7.0
VH-00323,2W-Electric,Karnataka,Mysuru,2021-07-07,58.3,2.1,7.0
VH-00201,E-Cargo,Telangana,Hyderabad,2022-04-06,56.4,53.4,7.0
VH-00458,E-Cargo,Tamil Nadu,Vellore,2024-05-24,30.9,64.3,4.0
VH-00934,E-Cargo,Andhra Pradesh,Guntur,2022-01-10,46.8,56.4,7.0
VH-00722,2W-Electric,Rajasthan,Ajmer,2021-07-10,78.3,2.9,7.0
VH-00149,4W-Electric,West Bengal,Kolkata,2022-04-05,85.9,38.4,7.0
VH-00310,2W-Electric,Madhya Pradesh,Jabalpur,2021-07-06,86.6,2.8,2.0
VH-00952,4W-Electric,Gujarat,Surat,2022-10-02,9.5,45.8,3.0
VH-00066,4W-Electric,West Bengal,Kolkata,2021-04-28,49.8,35.8,2.0
VH-01041,E-Cargo,Telangana,Warangal,2024-11-26,77.2,57.8,4.0
VH-00826,3W-Electric,Rajasthan,Ajmer,2021-11-23,13.1,8.2,2.0
VH-00454,E-Cargo,Gujarat,Vadodara,2022-08-05,19.8,65.7,2.0
VH-00272,4W-Electric,Karnataka,Mangaluru,2024-10-09,41.9,37.2,7.0
VH-00144,2W-Electric,Kerala,Kollam,2021-06-21,29.4,2.8,7.0
VH-00681,3W-Electric,Andhra Pradesh,Kurnool,2023-07-10,84.2,6.7,6.0
VH-01006,E-Cargo,Madhya Pradesh,Gwalior,2024-02-26,44.2,70.9,3.0
VH-00872,E-Cargo,Delhi,New Delhi,2023-03-05,56.7,61.4,3.0
VH-00087,4W-Electric,Punjab,Amritsar,2021-11-27,67.4,43.6,7.0
VH-00165,4W-Electric,Kerala,Kozhikode,2022-05-18,66.0,36.5,2.0
VH-00982,2W-Electric,Kerala,Kozhikode,2023-02-03,70.7,2.5,4.0
VH-01043,E-Cargo,Punjab,Chandigarh,2021-04-21,92.8,56.8,2.0
VH-00762,2W-Electric,Telangana,Khammam,2022-09-28,46.1,2.4,7.0
VH-00522,3W-Electric,Andhra Pradesh,Visakhapatnam,2023-05-06,32.1,8.8,3.0
VH-01138,E-Cargo,Haryana,Faridabad,2024-09-12,73.9,69.8,6.0
VH-00389,4W-Electric,Punjab,Amritsar,2023-07-10,30.2,45.1,6.0
VH-00194,3W-Electric,Kerala,Kochi,2024-07-05,86.4,8.7,3.0
VH-01009,E-Cargo,Punjab,Patiala,2023-08-27,38.4,50.7,7.0
VH-00109,E-Cargo,Madhya Pradesh,Gwalior,2022-10-05,36.5,68.4,7.0
VH-00569,3W-Electric,Gujarat,Ahmedabad,2023-10-29,114.3,8.0,4.0
VH-00172,E-Bus,West Bengal,Howrah,2024-08-15,73.6,226.1,7.0
VH-00019,3W-Electric,West Bengal,Howrah,2023-08-05,50.4,6.1,5.0
VH-00910,E-Cargo,Tamil Nadu,Salem,2024-02-04,57.4,64.7,4.0
VH-00156,E-Bus,Madhya Pradesh,Jabalpur,2022-02-11,80.6,211.5,2.0
VH-01008,E-Bus,Haryana,Faridabad,2022-11-11,42.7,214.9,6.0
VH-00644,4W-Electric,Delhi,Noida,2023-09-19,54.6,37.5,
VH-00734,2W-Electric,Karnataka,Shivamogga,2021-01-03,56.1,2.4,3.0
VH-00463,4W-Electric,Punjab,Jalandhar,2023-07-18,78.3,47.9,2.0
VH-00402,E-Cargo,Madhya Pradesh,Ujjain,2022-05-11,66.0,61.3,7.0
VH-00836,4W-Electric,Punjab,Amritsar,2021-12-30,71.6,45.2,4.0
VH-00329,E-Bus,Uttar Pradesh,Meerut,2023-04-29,85.2,179.9,4.0
VH-00017,4W-Electric,Rajasthan,Jodhpur,2024-12-08,34.6,42.9,7.0
