Corridor_ID,Highway_Name,Start_City,End_City,Total_Distance_KM,Daily_Traffic_Vehicles,Existing_Charging_Stations,Avg_Distance_Between_Stations_KM,EV_Traffic_Share_Pct,Coverage_Score,Coverage_Status,Additional_Station_Needed
COR-021,NH-44,Srinagar,Kanyakumari,1880,26107,8,235,4.8,80,Critical Gap,16
COR-032,NH-6,Surat,Kolkata,1538,47694,2,769,6.4,20,Critical Gap,18
COR-048,NH-58,Delhi,Badrinath,1881,37659,10,188.1,12.2,100,Moderate Gap,14
COR-050,NH-27,Porbandar,Silchar,1073,36809,12,89.4,17.9,100,Acceptable,2
COR-035,NH-6,Surat,Kolkata,1870,24904,5,374,2.1,50,Critical Gap,19
COR-008,NH-17,Panvel,Edapally,1031,29983,9,4221.007814,14.6,90,Critical Gap,4
COR-076,NH-58,Delhi,Badrinath,589,14034,1,589,11.7,10,Critical Gap,7
COR-044,NH-48,Delhi,Mumbai,1378,51049,12,114.8,13.1,100,Moderate Gap,6
COR-023,NH-6,Surat,Kolkata,1101,17159,6,183.5,8.8,60,Moderate Gap,8
COR-073,NH-7,Varanasi,Kanyakumari,594,28482,5,118.8,7.4,50,Moderate Gap,3
COR-016,NH-17,Panvel,Edapally,562,19513,11,51.1,10.6,100,Acceptable,0
COR-041,NH-4,Mumbai,Chennai,1146,36080,5,229.2,2.8,50,Critical Gap,10

