Corridor_ID,Highway_Name,Start_City,End_City,Total_Distance_KM,Daily_Traffic_Vehicles,Existing_Charging_Stations,Avg_Distance_Between_Stations_KM,EV_Traffic_Share_Pct,Coverage_Score
COR-001,NH-66,Panvel,Kanyakumari,1156,21363,0,1156.0,8.3,0
COR-012,NH-6,Surat,Kolkata,1656,18343,3,552.0,13.3,30
COR-033,NH-48,Delhi,Mumbai,343,27519,11,31.2,16.1,100
COR-051,NH-17,Panvel,Edapally,1975,8682,2,987.5,12.0,20
COR-071,NH-58,Delhi,Badrinath,1057,53661,7,151.0,6.1,70
COR-010,NH-58,Delhi,Badrinath,1846,17723,1,1846.0,10.8,10
COR-078,NH-58,Delhi,Badrinath,1871,52078,0,1871.0,13.6,0
COR-018,NH-31,Barhi,Guwahati,780,32676,10,78.0,9.7,100
COR-064,NH-31,Barhi,Guwahati,870,17857,8,108.8,6.0,80
COR-060,NH-2,Delhi,Agra,504,22879,3,168.0,14.0,30
COR-009,NH-76,Pindwara,Shivpuri,497,25273,4,124.2,7.7,40
COR-062,NH-76,Pindwara,Shivpuri,896,32177,6,149.3,10.5,60
COR-080,NH-7,Varanasi,Kanyakumari,991,21850,11,90.1,12.6,100
COR-027,NH-6,Surat,Kolkata,1976,18500,10,197.6,3.7,100
COR-055,NH-16,Kolkata,Chennai,1807,22483,1,1807.0,9.6,10
COR-013,NH-31,Barhi,Guwahati,660,31378,1,660.0,16.6,10
COR-054,NH-31,Barhi,Guwahati,330,12880,0,330.0,16.4,0
COR-017,NH-76,Pindwara,Shivpuri,1301,16946,12,108.4,11.9,100
COR-003,NH-58,Delhi,Badrinath,1014,44381,10,101.4,9.1,100
COR-063,NH-31,Barhi,Guwahati,755,10663,1,755.0,13.3,10
COR-020,NH-8,Delhi,Jaipur,1137,8725,12,94.8,12.2,100
COR-070,NH-48,Delhi,Mumbai,1879,20808,6,313.2,12.7,60
COR-007,NH-76,Pindwara,Shivpuri,1590,12811,12,132.5,7.1,100
COR-047,NH-7,Varanasi,Kanyakumari,349,19208,4,87.2,2.4,40
COR-066,NH-58,Delhi,Badrinath,335,34162,6,55.8,6.7,60
COR-025,NH-24,Delhi,Lucknow,849,16341,0,849.0,14.1,0
COR-006,NH-7,Varanasi,Kanyakumari,1293,54786,10,129.3,16.1,100
COR-004,NH-76,Pindwara,Shivpuri,1645,51106,8,205.6,9.6,80
COR-034,NH-17,Panvel,Edapally,1898,21679,1,1898.0,4.9,10
COR-065,NH-76,Pindwara,Shivpuri,1739,22707,4,434.8,15.9,40
COR-039,NH-17,Panvel,Edapally,769,35229,11,69.9,5.8,100
COR-067,NH-76,Pindwara,Shivpuri,1106,20141,11,100.5,14.3,100
COR-052,NH-24,Delhi,Lucknow,456,35498,1,456.0,4.9,10
COR-077,NH-17,Panvel,Edapally,1269,12619,9,141.0,10.2,90
COR-043,NH-58,Delhi,Badrinath,373,28847,0,373.0,9.5,0
COR-005,NH-66,Panvel,Kanyakumari,774,40891,4,193.5,8.0,40
COR-040,NH-7,Varanasi,Kanyakumari,630,15574,12,52.5,9.0,100
COR-038,NH-8,Delhi,Jaipur,1397,17683,2,698.5,17.8,20
COR-021,NH-44,Srinagar,Kanyakumari,1880,26107,8,235.0,4.8,80
COR-032,NH-6,Surat,Kolkata,1538,47694,2,769.0,6.4,20
COR-064,NH-31,Barhi,Guwahati,870,17857,8,108.8,6.0,80
COR-048,NH-58,Delhi,Badrinath,1881,37659,10,188.1,12.2,100
COR-050,NH-27,Porbandar,Silchar,1073,36809,12,89.4,17.9,100
COR-035,NH-6,Surat,Kolkata,1870,24904,5,374.0,2.1,50
COR-008,NH-17,Panvel,Edapally,1031,29983,9,4221.00781360167,14.6,90
COR-076,NH-58,Delhi,Badrinath,589,14034,1,589.0,11.7,10
COR-044,NH-48,Delhi,Mumbai,1378,51049,12,114.8,13.1,100
COR-023,NH-6,Surat,Kolkata,1101,17159,6,183.5,8.8,60
COR-073,NH-7,Varanasi,Kanyakumari,594,28482,5,118.8,7.4,50
COR-016,NH-17,Panvel,Edapally,562,19513,11,51.1,10.6,100
COR-041,NH-4,Mumbai,Chennai,1146,36080,5,229.2,2.8,50
