Vehicle_ID,EV_Type,State,City,Registration_Date,Daily_KM_Travelled,Battery_Capacity_kWh,Charging_Frequency_Per_Week,EV_Category,Registration_Year
VH-00377,E-Cargo,Delhi,New Delhi,11-01-2024,53.2,65.2,7,Commercial - Cargo,2024
VH-00232,E-Cargo,Rajasthan,Udaipur,18-01-2024,86,68.5,5,Commercial - Cargo,2024
VH-00457,E-Cargo,West Bengal,Howrah,04-04-2024,16.3,55.1,3,Commercial - Cargo,2024
VH-01168,E-Cargo,Telangana,Nizamabad,05-09-2024,2.2,57.7,6,Commercial - Cargo,2024
VH-00428,E-Cargo,Telangana,Karimnagar,23-10-2024,50.5,61,3,Commercial - Cargo,2024
VH-01105,E-Cargo,Madhya Pradesh,Bhopal,31-03-2024,57.1,56.4,5,Commercial - Cargo,2024
VH-00203,E-Cargo,Tamil Nadu,Madurai,11-03-2024,64.5,49.8,4,Commercial - Cargo,2024
VH-01028,E-Cargo,Haryana,Panipat,19-07-2024,33.1,66.9,3,Commercial - Cargo,2024
VH-01085,E-Cargo,Kerala,Thrissur,27-01-2024,78.3,68.8,2,Commercial - Cargo,2024
VH-01095,E-Cargo,Uttar Pradesh,Agra,12-09-2024,44.3,48.2,4,Commercial - Cargo,2024
VH-00043,E-Cargo,Telangana,Warangal,13-11-2024,26.6,48.8,3,Commercial - Cargo,2024
VH-01000,E-Cargo,West Bengal,Howrah,10-08-2024,76.5,64.9,5,Commercial - Cargo,2024
VH-01059,E-Cargo,West Bengal,Asansol,22-08-2024,29.8,54.2,2,Commercial - Cargo,2024
VH-00974,E-Cargo,Karnataka,Bengaluru,02-10-2024,67.8,67.9,5,Commercial - Cargo,2024
VH-00953,E-Cargo,Karnataka,Mangaluru,20-04-2024,60.1,61.1,4,Commercial - Cargo,2024
VH-00810,E-Cargo,Madhya Pradesh,Bhopal,15-04-2024,76.5,60.2,4,Commercial - Cargo,2024
VH-00573,E-Cargo,Delhi,New Delhi,26-04-2024,76.8,49.7,7,Commercial - Cargo,2024
VH-00250,E-Cargo,Kerala,Thrissur,31-10-2024,64.8,56.3,3,Commercial - Cargo,2024
VH-00303,E-Cargo,Delhi,Gurugram,29-01-2024,43,49.5,7,Commercial - Cargo,2024
VH-00900,E-Cargo,Andhra Pradesh,Tirupati,15-08-2024,40.3,69.8,2,Commercial - Cargo,2024
VH-00686,E-Cargo,Haryana,Ambala,01-08-2024,77.1,71.8,4,Commercial - Cargo,2024
VH-00051,E-Cargo,Tamil Nadu,Vellore,26-03-2024,82.4,67.3,5,Commercial - Cargo,2024
VH-00025,E-Cargo,Gujarat,Bhavnagar,09-01-2024,34.8,50.1,4,Commercial - Cargo,2024
VH-00476,E-Cargo,Delhi,Noida,01-09-2024,58.2,51.1,7,Commercial - Cargo,2024
VH-00070,E-Cargo,Kerala,Thiruvananthapuram,02-05-2024,70.5,65.5,2,Commercial - Cargo,2024
VH-00888,E-Cargo,Uttar Pradesh,Lucknow,18-04-2024,95.2,57.9,6,Commercial - Cargo,2024
VH-00667,E-Cargo,Andhra Pradesh,Kurnool,03-04-2024,49.3,68.8,7,Commercial - Cargo,2024
VH-00779,E-Cargo,Rajasthan,Jaipur,10-10-2024,58.2,52.2,2,Commercial - Cargo,2024
VH-00018,E-Cargo,Madhya Pradesh,Bhopal,24-07-2024,51.8,59.9,3,Commercial - Cargo,2024
VH-01024,E-Cargo,Telangana,Nizamabad,19-11-2024,69.7,65.5,3,Commercial - Cargo,2024
VH-00429,E-Cargo,Maharashtra,Nagpur,20-10-2024,71.3,69,5,Commercial - Cargo,2024
VH-00208,E-Cargo,Karnataka,Mysuru,17-04-2024,74.5,62.9,2,Commercial - Cargo,2024
VH-00230,E-Cargo,Andhra Pradesh,Guntur,02-04-2024,48.9,64.1,7,Commercial - Cargo,2024
VH-00694,E-Cargo,Tamil Nadu,Salem,21-11-2024,57.2,63.6,7,Commercial - Cargo,2024
VH-00363,E-Cargo,Uttar Pradesh,Meerut,02-06-2024,41.4,60.1,3,Commercial - Cargo,2024
VH-01031,E-Cargo,Tamil Nadu,Tiruchirappalli,22-11-2024,18.6,70,7,Commercial - Cargo,2024
VH-00669,E-Cargo,Uttar Pradesh,Allahabad,15-11-2024,78,62.7,6,Commercial - Cargo,2024
VH-00606,E-Cargo,Maharashtra,Mumbai,04-02-2024,34.3,70.4,5,Commercial - Cargo,2024
VH-00831,E-Cargo,Andhra Pradesh,Guntur,29-02-2024,99.3,62.1,3,Commercial - Cargo,2024
VH-00710,E-Cargo,Kerala,Kozhikode,19-07-2024,59.5,66.1,5,Commercial - Cargo,2024
VH-00770,E-Cargo,Delhi,Faridabad,09-07-2024,58.2,62.7,2,Commercial - Cargo,2024
VH-01033,E-Cargo,Uttar Pradesh,Meerut,28-09-2024,86.7,56.9,7,Commercial - Cargo,2024
VH-01163,E-Cargo,Punjab,Chandigarh,11-06-2024,20.1,50.7,7,Commercial - Cargo,2024
VH-00842,E-Cargo,Tamil Nadu,Vellore,21-11-2024,52.3,53.3,6,Commercial - Cargo,2024
VH-00188,E-Cargo,Uttar Pradesh,Lucknow,13-07-2024,59.1,67.7,7,Commercial - Cargo,2024
VH-00662,E-Cargo,Andhra Pradesh,Kurnool,30-07-2024,36.3,54.2,2,Commercial - Cargo,2024
VH-00856,E-Cargo,Karnataka,Mangaluru,26-08-2024,82.8,59.6,7,Commercial - Cargo,2024
VH-00759,E-Cargo,Telangana,Hyderabad,07-01-2024,31.1,58.9,6,Commercial - Cargo,2024
VH-01113,E-Cargo,Tamil Nadu,Tiruchirappalli,12-09-2024,72.5,53.6,3,Commercial - Cargo,2024
VH-00773,E-Cargo,Delhi,New Delhi,12-10-2024,50.4,60.3,7,Commercial - Cargo,2024
VH-00806,E-Cargo,Telangana,Nizamabad,01-02-2024,53.3,65.4,3,Commercial - Cargo,2024
VH-00608,E-Cargo,Delhi,New Delhi,30-11-2024,55.2,51.6,7,Commercial - Cargo,2024
VH-00467,E-Cargo,Tamil Nadu,Madurai,25-02-2024,45.1,66.7,2,Commercial - Cargo,2024
VH-00494,E-Cargo,Delhi,Faridabad,28-03-2024,38.3,65.8,3,Commercial - Cargo,2024
VH-00487,E-Cargo,Uttar Pradesh,Kanpur,22-11-2023,59.8,54.4,3,Commercial - Cargo,2023
VH-00138,E-Cargo,Andhra Pradesh,Visakhapatnam,19-02-2023,88.2,52.2,5,Commercial - Cargo,2023
VH-01122,E-Cargo,Telangana,Warangal,12-04-2023,29.2,63,4,Commercial - Cargo,2023
VH-00693,E-Cargo,Kerala,Thiruvananthapuram,25-02-2023,75.6,53.6,5,Commercial - Cargo,2023
VH-00660,E-Cargo,Kerala,Thrissur,01-04-2023,66,60.6,6,Commercial - Cargo,2023
VH-00526,E-Cargo,Uttar Pradesh,Allahabad,10-12-2023,50.9,53.5,5,Commercial - Cargo,2023
VH-00474,E-Cargo,Karnataka,Mangaluru,26-07-2023,73.8,61.9,3,Commercial - Cargo,2023
VH-00227,E-Cargo,Telangana,Warangal,07-11-2023,27.6,70.9,7,Commercial - Cargo,2023
VH-01064,E-Cargo,Haryana,Panipat,08-11-2023,101.7,57.6,5,Commercial - Cargo,2023
VH-00371,E-Cargo,Karnataka,Hubli,11-02-2023,31.4,57.6,7,Commercial - Cargo,2023
VH-00084,E-Cargo,Madhya Pradesh,Gwalior,28-09-2023,105.8,53.8,4,Commercial - Cargo,2023
VH-00406,E-Cargo,West Bengal,Siliguri,06-11-2023,86.4,64,6,Commercial - Cargo,2023
VH-00673,E-Cargo,Punjab,Amritsar,17-09-2023,91.4,67.7,4,Commercial - Cargo,2023
VH-00456,E-Cargo,Madhya Pradesh,Gwalior,29-12-2023,38.9,54.9,2,Commercial - Cargo,2023
VH-01146,E-Cargo,Madhya Pradesh,Jabalpur,12-05-2023,57.8,56.6,4,Commercial - Cargo,2023
VH-00280,E-Cargo,Rajasthan,Bikaner,09-05-2023,28.8,61.7,6,Commercial - Cargo,2023
VH-00357,E-Cargo,Kerala,Kollam,27-02-2023,71.1,68.8,5,Commercial - Cargo,2023
VH-00273,E-Cargo,Madhya Pradesh,Gwalior,20-02-2023,59.4,50.9,7,Commercial - Cargo,2023
VH-00577,E-Cargo,Telangana,Warangal,28-08-2023,23.8,71.7,3,Commercial - Cargo,2023
VH-00282,E-Cargo,Haryana,Ambala,16-04-2023,57.5,53.7,4,Commercial - Cargo,2023
VH-00117,E-Cargo,Madhya Pradesh,Indore,28-08-2023,61.1,67.4,7,Commercial - Cargo,2023
VH-00862,E-Cargo,Telangana,Warangal,09-06-2023,43.5,63.8,3,Commercial - Cargo,2023
VH-00745,E-Cargo,Tamil Nadu,Chennai,26-02-2023,24.3,60.2,4,Commercial - Cargo,2023
VH-00067,E-Cargo,Kerala,Thrissur,24-12-2023,61.8,51.5,3,Commercial - Cargo,2023
VH-01056,E-Cargo,Telangana,Khammam,07-04-2023,31.4,61,2,Commercial - Cargo,2023
VH-00546,E-Cargo,Karnataka,Bengaluru,02-11-2023,33.1,68.8,3,Commercial - Cargo,2023
VH-00872,E-Cargo,Delhi,New Delhi,05-03-2023,56.7,61.4,3,Commercial - Cargo,2023
VH-01009,E-Cargo,Punjab,Patiala,27-08-2023,38.4,50.7,7,Commercial - Cargo,2023
VH-00331,E-Cargo,Karnataka,Hubli,24-09-2023,80.7,56.2,6,Commercial - Cargo,2023
VH-01172,E-Cargo,Punjab,Patiala,23-11-2023,59.3,55.5,7,Commercial - Cargo,2023
VH-00003,E-Cargo,West Bengal,Kolkata,15-05-2023,60.6,68.8,2,Commercial - Cargo,2023
VH-00385,E-Cargo,Punjab,Jalandhar,17-12-2023,41.9,64,5,Commercial - Cargo,2023
VH-00703,E-Cargo,Punjab,Jalandhar,12-10-2023,86.7,50.3,6,Commercial - Cargo,2023
VH-00838,E-Cargo,Tamil Nadu,Chennai,18-01-2023,42,65,2,Commercial - Cargo,2023
VH-00481,E-Cargo,Karnataka,Mangaluru,12-07-2023,38.2,65.4,6,Commercial - Cargo,2023
VH-00136,E-Cargo,Telangana,Karimnagar,13-08-2023,21.6,49.9,5,Commercial - Cargo,2023
VH-00343,E-Cargo,Gujarat,Rajkot,01-04-2023,60,65,6,Commercial - Cargo,2023
VH-00131,E-Cargo,Haryana,Panipat,20-09-2023,102.8,49.2,7,Commercial - Cargo,2023
VH-00339,E-Cargo,Karnataka,Hubli,30-05-2023,58.6,59.1,6,Commercial - Cargo,2023
VH-00305,E-Cargo,Uttar Pradesh,Meerut,01-06-2023,40.5,66.2,2,Commercial - Cargo,2023
VH-00424,E-Cargo,Delhi,Noida,23-05-2023,47,67.7,3,Commercial - Cargo,2023
VH-00993,E-Cargo,Haryana,Panipat,08-12-2023,76.7,48.1,7,Commercial - Cargo,2023
VH-00030,E-Cargo,Telangana,Nizamabad,17-08-2023,72.8,65.5,6,Commercial - Cargo,2023
VH-00562,E-Cargo,Delhi,Noida,19-05-2023,58.2,67.6,6,Commercial - Cargo,2023
VH-01147,E-Cargo,Haryana,Gurugram,29-05-2023,-1.7,71,3,Commercial - Cargo,2023
VH-00698,E-Cargo,Gujarat,Rajkot,02-11-2023,93.9,65.5,7,Commercial - Cargo,2023
VH-00426,E-Cargo,Andhra Pradesh,Guntur,10-06-2023,73.6,62.2,4,Commercial - Cargo,2023
VH-00104,E-Cargo,Maharashtra,Pune,09-06-2023,74.5,48.6,4,Commercial - Cargo,2023
VH-00771,E-Cargo,Uttar Pradesh,Varanasi,08-01-2023,31.2,49.6,2,Commercial - Cargo,2023
VH-00490,E-Cargo,Haryana,Yamunanagar,01-10-2023,69.3,68.1,7,Commercial - Cargo,2023
VH-00560,E-Cargo,Karnataka,Mysuru,16-03-2023,62.2,68.8,6,Commercial - Cargo,2023
VH-00502,E-Cargo,Madhya Pradesh,Jabalpur,11-02-2023,47,61,4,Commercial - Cargo,2023
VH-00692,E-Cargo,Andhra Pradesh,Vijayawada,07-03-2023,55.7,67.2,5,Commercial - Cargo,2023
VH-00197,E-Cargo,Telangana,Nizamabad,21-08-2023,80.4,49.4,4,Commercial - Cargo,2023
VH-00495,E-Cargo,Andhra Pradesh,Visakhapatnam,11-09-2023,63.4,51.9,3,Commercial - Cargo,2023
VH-00260,E-Cargo,Punjab,Ludhiana,15-10-2023,42.6,66,4,Commercial - Cargo,2023
VH-00416,E-Cargo,West Bengal,Asansol,28-08-2023,58.6,53.2,4,Commercial - Cargo,2023
VH-00868,E-Cargo,Delhi,Faridabad,11-09-2023,58.2,49.5,3,Commercial - Cargo,2023
VH-00687,E-Cargo,Kerala,Thrissur,15-03-2023,61.1,51.1,6,Commercial - Cargo,2023
VH-01152,E-Cargo,Maharashtra,Mumbai,07-12-2023,48.6,68.4,2,Commercial - Cargo,2023
VH-00866,E-Cargo,Telangana,Khammam,03-10-2023,36.5,66.2,3,Commercial - Cargo,2023
VH-00404,E-Cargo,Rajasthan,Jodhpur,04-05-2023,65.5,48.3,3,Commercial - Cargo,2023
VH-00304,E-Cargo,Rajasthan,Kota,23-12-2023,70.2,64.4,4,Commercial - Cargo,2023
VH-00920,E-Cargo,Madhya Pradesh,Ujjain,25-03-2023,54.1,64,6,Commercial - Cargo,2023
VH-00470,E-Cargo,Delhi,Noida,07-05-2023,31.5,66.2,3,Commercial - Cargo,2023
VH-00128,E-Cargo,Rajasthan,Kota,31-10-2023,48.3,60.5,5,Commercial - Cargo,2023
VH-00045,E-Cargo,Rajasthan,Kota,14-07-2023,44.3,69.8,2,Commercial - Cargo,2023
VH-01020,E-Cargo,West Bengal,Kolkata,06-06-2023,40.1,51.4,6,Commercial - Cargo,2023
VH-00549,E-Cargo,Gujarat,Bhavnagar,29-09-2023,103,53.8,2,Commercial - Cargo,2023
VH-01012,E-Cargo,Haryana,Panipat,06-12-2023,45.2,49.7,4,Commercial - Cargo,2023
VH-00447,E-Cargo,Andhra Pradesh,Tirupati,22-04-2023,69.3,53.6,5,Commercial - Cargo,2023
VH-00893,E-Cargo,Uttar Pradesh,Meerut,27-08-2023,40.8,52.8,2,Commercial - Cargo,2023
VH-00125,E-Cargo,Gujarat,Surat,10-08-2023,19.2,59.2,2,Commercial - Cargo,2023
VH-00405,E-Cargo,Madhya Pradesh,Bhopal,09-01-2023,87.4,51.3,2,Commercial - Cargo,2023
VH-00726,E-Cargo,Kerala,Thiruvananthapuram,21-09-2023,47.9,64.7,4,Commercial - Cargo,2023
VH-00847,E-Cargo,Kerala,Kozhikode,29-03-2022,79,68.2,7,Commercial - Cargo,2022
VH-00489,E-Cargo,Kerala,Kozhikode,20-11-2022,63.1,68.4,6,Commercial - Cargo,2022
VH-01178,E-Cargo,Andhra Pradesh,Kurnool,14-12-2022,40.2,60.4,4,Commercial - Cargo,2022
VH-00306,E-Cargo,Punjab,Ludhiana,17-03-2022,103.7,57.9,5,Commercial - Cargo,2022
VH-00864,E-Cargo,Telangana,Khammam,28-06-2022,37.2,53.9,7,Commercial - Cargo,2022
VH-00287,E-Cargo,Gujarat,Bhavnagar,13-02-2021,4.9,49.9,2,Commercial - Cargo,2021
VH-00937,E-Cargo,Rajasthan,Udaipur,26-08-2022,52.9,56.5,5,Commercial - Cargo,2022
VH-00544,E-Cargo,Punjab,Amritsar,17-06-2021,41.2,59.5,6,Commercial - Cargo,2021
VH-00580,E-Cargo,Telangana,Khammam,02-10-2021,43.5,62.2,5,Commercial - Cargo,2021
VH-01197,E-Cargo,Madhya Pradesh,Jabalpur,14-01-2021,61.6,68.8,6,Commercial - Cargo,2021
VH-00102,E-Cargo,West Bengal,Asansol,10-11-2022,56.9,59.8,2,Commercial - Cargo,2022
VH-00477,E-Cargo,Uttar Pradesh,Agra,17-01-2021,65.9,69.3,2,Commercial - Cargo,2021
VH-00875,E-Cargo,Gujarat,Vadodara,07-05-2021,32.8,65.5,3,Commercial - Cargo,2021
VH-01049,E-Cargo,Telangana,Karimnagar,26-06-2022,18.9,66.1,3,Commercial - Cargo,2022
VH-00966,E-Cargo,Madhya Pradesh,Bhopal,07-07-2022,37.7,49.2,6,Commercial - Cargo,2022
VH-00585,E-Cargo,Gujarat,Gandhinagar,21-03-2022,61.5,52.3,5,Commercial - Cargo,2022
VH-00386,E-Cargo,Tamil Nadu,Coimbatore,11-10-2021,36.3,69.5,4,Commercial - Cargo,2021
VH-00503,E-Cargo,Tamil Nadu,Salem,03-12-2022,79.2,71.1,6,Commercial - Cargo,2022
VH-00917,E-Cargo,Gujarat,Vadodara,18-09-2022,58.8,50,7,Commercial - Cargo,2022
VH-00702,E-Cargo,Delhi,Dwarka,15-08-2022,67.6,60.9,3,Commercial - Cargo,2022
VH-00946,E-Cargo,Punjab,Amritsar,21-11-2021,28.7,70.5,4,Commercial - Cargo,2021
VH-00422,E-Cargo,Kerala,Thiruvananthapuram,25-08-2022,48.3,59.9,4,Commercial - Cargo,2022
VH-00170,E-Cargo,Andhra Pradesh,Guntur,21-01-2021,46.2,66.1,6,Commercial - Cargo,2021
VH-01102,E-Cargo,Tamil Nadu,Vellore,17-06-2021,59.2,68.8,4,Commercial - Cargo,2021
VH-01029,E-Cargo,Gujarat,Surat,19-08-2022,65.6,58.7,7,Commercial - Cargo,2022
VH-00992,E-Cargo,West Bengal,Siliguri,04-04-2022,41.6,60.4,7,Commercial - Cargo,2022
VH-00652,E-Cargo,Andhra Pradesh,Tirupati,12-05-2022,66.1,50.4,4,Commercial - Cargo,2022
VH-00780,E-Cargo,Tamil Nadu,Coimbatore,05-04-2021,40.8,66.3,5,Commercial - Cargo,2021
VH-00607,E-Cargo,Maharashtra,Mumbai,17-07-2022,43.2,55.6,6,Commercial - Cargo,2022
VH-00970,E-Cargo,Gujarat,Vadodara,18-02-2022,42,48.8,4,Commercial - Cargo,2022
VH-00201,E-Cargo,Telangana,Hyderabad,06-04-2022,56.4,53.4,7,Commercial - Cargo,2022
VH-00934,E-Cargo,Andhra Pradesh,Guntur,10-01-2022,46.8,56.4,7,Commercial - Cargo,2022
VH-00454,E-Cargo,Gujarat,Vadodara,05-08-2022,19.8,65.7,2,Commercial - Cargo,2022
VH-01043,E-Cargo,Punjab,Chandigarh,21-04-2021,92.8,56.8,2,Commercial - Cargo,2021
VH-00109,E-Cargo,Madhya Pradesh,Gwalior,05-10-2022,36.5,68.4,7,Commercial - Cargo,2022
VH-00402,E-Cargo,Madhya Pradesh,Ujjain,11-05-2022,66,61.3,7,Commercial - Cargo,2022
VH-01169,E-Cargo,Delhi,Faridabad,28-04-2021,53.5,60.7,3,Commercial - Cargo,2021
VH-00433,E-Cargo,Uttar Pradesh,Lucknow,09-10-2021,71.4,53.3,6,Commercial - Cargo,2021
VH-01090,E-Cargo,Uttar Pradesh,Allahabad,30-05-2021,50.2,65.3,4,Commercial - Cargo,2021
VH-00802,E-Cargo,Delhi,Faridabad,24-03-2021,69.7,63.7,3,Commercial - Cargo,2021
VH-00346,E-Cargo,Karnataka,Belagavi,02-02-2022,57,70.2,4,Commercial - Cargo,2022
VH-00327,E-Cargo,Tamil Nadu,Coimbatore,12-04-2021,45.3,69.5,7,Commercial - Cargo,2021
VH-01131,E-Cargo,Tamil Nadu,Tiruchirappalli,26-11-2021,42.5,66,3,Commercial - Cargo,2021
VH-00143,E-Cargo,Tamil Nadu,Tiruchirappalli,25-02-2021,40.4,58.1,5,Commercial - Cargo,2021
VH-00289,E-Cargo,Gujarat,Ahmedabad,01-03-2022,62.8,50.7,6,Commercial - Cargo,2022
VH-00961,E-Cargo,Punjab,Patiala,10-04-2021,61.8,68.9,6,Commercial - Cargo,2021
VH-00176,E-Cargo,Rajasthan,Kota,09-11-2022,42.7,68.8,4,Commercial - Cargo,2022
VH-00565,E-Cargo,Punjab,Jalandhar,02-02-2021,63,58.9,3,Commercial - Cargo,2021
VH-00482,E-Cargo,Delhi,Gurugram,01-09-2021,54.8,53.3,3,Commercial - Cargo,2021
VH-00593,E-Cargo,Telangana,Hyderabad,30-03-2022,23.9,66.6,7,Commercial - Cargo,2022
VH-01103,E-Cargo,Haryana,Faridabad,07-02-2022,22.2,49.9,4,Commercial - Cargo,2022
VH-00785,E-Cargo,Uttar Pradesh,Kanpur,18-05-2022,43.3,63.5,3,Commercial - Cargo,2022
VH-00706,E-Cargo,Punjab,Jalandhar,24-03-2022,26.9,51.7,5,Commercial - Cargo,2022
VH-00005,E-Cargo,Kerala,Kochi,12-02-2022,43.4,48.5,7,Commercial - Cargo,2022
VH-00410,E-Cargo,Madhya Pradesh,Bhopal,12-11-2022,59,62.5,3,Commercial - Cargo,2022
VH-00013,E-Cargo,Kerala,Kozhikode,29-01-2022,57.4,62.2,7,Commercial - Cargo,2022
VH-00209,E-Cargo,Punjab,Chandigarh,24-03-2021,51.8,54.7,3,Commercial - Cargo,2021
VH-01089,E-Cargo,Tamil Nadu,Vellore,22-04-2021,94.1,63,6,Commercial - Cargo,2021
VH-00354,E-Cargo,Maharashtra,Thane,01-06-2021,38.6,58.9,4,Commercial - Cargo,2021
VH-01167,E-Cargo,Rajasthan,Jaipur,19-03-2021,50.6,51,7,Commercial - Cargo,2021
VH-01129,E-Cargo,Uttar Pradesh,Kanpur,27-11-2021,61.7,54.8,7,Commercial - Cargo,2021
VH-01067,E-Cargo,Punjab,Patiala,16-01-2021,46,68.8,7,Commercial - Cargo,2021
VH-00879,E-Cargo,West Bengal,Asansol,28-04-2022,46.5,50.7,5,Commercial - Cargo,2022
VH-01180,E-Cargo,Uttar Pradesh,Varanasi,10-01-2021,28,71.4,4,Commercial - Cargo,2021
VH-00846,E-Cargo,Maharashtra,Solapur,08-03-2021,60.2,57.8,3,Commercial - Cargo,2021
VH-00114,E-Cargo,Delhi,Noida,01-01-2021,56,65.8,4,Commercial - Cargo,2021
VH-00207,E-Cargo,Telangana,Karimnagar,28-05-2022,52.8,62,2,Commercial - Cargo,2022
VH-00824,E-Cargo,Maharashtra,Thane,25-03-2022,32.9,51.6,2,Commercial - Cargo,2022
VH-00326,E-Cargo,Rajasthan,Ajmer,23-06-2021,79.9,60.8,2,Commercial - Cargo,2021
VH-00140,E-Cargo,West Bengal,Siliguri,28-03-2022,22.8,65.2,5,Commercial - Cargo,2022
VH-00774,E-Cargo,Karnataka,Mysuru,06-01-2021,56.8,50,7,Commercial - Cargo,2021
VH-00712,E-Cargo,Punjab,Ludhiana,20-12-2022,66.6,65,6,Commercial - Cargo,2022
VH-00661,E-Cargo,West Bengal,Asansol,17-03-2021,58.2,65,4,Commercial - Cargo,2021
VH-00638,E-Cargo,Karnataka,Hubli,10-07-2021,48.9,57,6,Commercial - Cargo,2021
VH-00151,E-Cargo,Gujarat,Ahmedabad,09-11-2021,56.2,57,3,Commercial - Cargo,2021
VH-00713,E-Cargo,Delhi,Gurugram,11-12-2021,33.6,48.9,4,Commercial - Cargo,2021
VH-00783,E-Cargo,Gujarat,Vadodara,15-09-2022,60.6,52.9,7,Commercial - Cargo,2022
VH-00521,E-Cargo,Maharashtra,Pune,21-04-2022,50.6,70.8,6,Commercial - Cargo,2022
VH-00975,E-Cargo,Tamil Nadu,Chennai,03-06-2021,68.1,69.1,5,Commercial - Cargo,2021
VH-00922,E-Cargo,West Bengal,Siliguri,02-08-2022,49.9,48.3,4,Commercial - Cargo,2022
VH-00860,E-Cargo,Andhra Pradesh,Visakhapatnam,10-07-2021,70.6,51.8,4,Commercial - Cargo,2021
VH-00584,E-Cargo,Madhya Pradesh,Ujjain,22-03-2021,41.3,69.8,2,Commercial - Cargo,2021
VH-00767,E-Cargo,Rajasthan,Ajmer,15-06-2022,53.2,54.1,3,Commercial - Cargo,2022
VH-01023,E-Cargo,Madhya Pradesh,Ujjain,22-10-2022,15.8,61.9,6,Commercial - Cargo,2022
VH-00617,E-Cargo,Madhya Pradesh,Gwalior,15-07-2021,65.9,68.8,6,Commercial - Cargo,2021
VH-00436,E-Cargo,West Bengal,Asansol,30-08-2021,50.7,71.3,4,Commercial - Cargo,2021
VH-00185,E-Cargo,Karnataka,Bengaluru,06-08-2022,67.3,51.4,5,Commercial - Cargo,2022
VH-00570,E-Cargo,Gujarat,Bhavnagar,16-10-2022,53.1,65.3,6,Commercial - Cargo,2022
VH-00216,E-Cargo,Karnataka,Mangaluru,03-01-2021,49.4,67.5,7,Commercial - Cargo,2021
VH-00191,E-Cargo,Kerala,Kollam,08-04-2022,41.7,71.7,6,Commercial - Cargo,2022
VH-00351,E-Cargo,Madhya Pradesh,Ujjain,24-10-2022,58.2,56,7,Commercial - Cargo,2022
VH-00094,E-Cargo,Haryana,Ambala,13-11-2021,35.9,53.7,3,Commercial - Cargo,2021
VH-01145,E-Cargo,Tamil Nadu,Tiruchirappalli,03-01-2021,46.2,66.8,7,Commercial - Cargo,2021
