Location_ID,State,City,Estimated_EV_Density,Land_Cost_INR,Estimated_Setup_Cost_INR,Total_Investment_INR,Expected_Daily_Users,Expected_Monthly_Rev_INR,Expected_Annual_Rev_INR,ROI_Percentage,Priority_Score,ROI_Band
LOC-0062,Gujarat,Vadodara,36,970000,4872000,5842000,54,207200,2486400,27.6,78.6,Moderate
LOC-0082,Gujarat,Surat,26,1904000,2744000,4648000,53,234100,2809200,45.4,40.7,Moderate
LOC-0069,Karnataka,Belagavi,113,1047000,1058000,2105000,85,193000,2316000,95,79.3,Excellent
LOC-0130,Kerala,Kozhikode,201,1341000,3412000,4753000,50,129900,1558800,17.8,62.9,Low
LOC-0057,Kerala,Thiruvananthapuram,45,1525000,1740000,3265000,39,165300,1983600,45.8,93.2,Moderate
LOC-0020,Andhra Pradesh,Visakhapatnam,239,555000,817000,1372000,46,165000,1980000,129.3,78.8,Excellent
LOC-0087,Tamil Nadu,Salem,36,1565000,2609000,4174000,49,209200,2510400,45.1,46,Moderate
LOC-0071,Andhra Pradesh,Vijayawada,38,1013112.24,3734000,5530000,66,173600,2083200,22.7,78.8,Low
LOC-0138,Kerala,Thrissur,54,1165000,1285000,2450000,49,178400,2140800,72.4,54.9,Strong
LOC-0061,Madhya Pradesh,Bhopal,22,802000,2313000,3115000,39,115800,1389600,29.6,78.2,Moderate
LOC-0035,Kerala,Thiruvananthapuram,156,1392000,4490000,5882000,29,86400,1036800,2.6,90.8,Low
LOC-0139,Uttar Pradesh,Kanpur,66,1200000,2315000,3515000,56,275600,3307200,79.1,63,Strong
LOC-0077,Rajasthan,Ajmer,100,1718000,3292000,5010000,28,92500,1110000,7.2,69.3,Low
LOC-0156,Rajasthan,Bikaner,201,208000,3940000,4148000,32,91700,1100400,11.5,74.3,Low
LOC-0027,Andhra Pradesh,Kurnool,52,296000,4691000,4987000,11,27600,331200,-8.4,78.8,Negative ROI
LOC-0033,West Bengal,Durgapur,50,290000,2980000,3270000,48,136300,1635600,35,64.5,Moderate
LOC-0198,Delhi,Dwarka,114,1203000,1203000,2406000,102,208100,2497200,88.8,40.8,Excellent
LOC-0097,Punjab,Jalandhar,39,645000,1739000,2384000,34,139500,1674000,55.2,44.2,Strong
LOC-0084,Gujarat,Ahmedabad,46,574000,2608000,3182000,93,484800,5817600,167.8,92.1,Excellent
LOC-0111,Madhya Pradesh,Bhopal,92,1032000,3503000,4535000,25,130700,1568400,19.6,58.3,Low
LOC-0106,Andhra Pradesh,Vijayawada,94,1811000,1067000,2878000,21,111900,1342800,31.7,48,Moderate
LOC-0074,Karnataka,Mysuru,45,549000,2146000,2695000,38,153500,1842000,53.3,59.6,Strong
LOC-0118,Andhra Pradesh,Tirupati,48,1599000,1185000,2784000,42,143900,1726800,47,87.2,Moderate
LOC-0151,Rajasthan,Jaipur,114,1540000,1311000,2851000,66,242400,2908800,87,52.4,Excellent
LOC-0146,Haryana,Faridabad,78,1713000,2473000,4186000,54,182400,2188800,37.3,53.1,Moderate
LOC-0158,Andhra Pradesh,Vijayawada,60,1074000,1372000,2446000,28,130900,1570800,49.2,92.3,Moderate
LOC-0059,Madhya Pradesh,Ujjain,60,586000,2619000,3205000,38,127200,1526400,32.6,94.5,Moderate
LOC-0137,Haryana,Ambala,48,443000,1869000,2312000,30,118500,1422000,46.5,55.4,Moderate
LOC-0040,West Bengal,Siliguri,208,521000,3514000,4035000,26,137500,1650000,25.9,59.5,Moderate
LOC-0050,Karnataka,Bengaluru,15,533000,4830000,5363000,104,246400,2956800,40.1,79.2,Moderate
LOC-0189,Gujarat,Vadodara,52,1072000,1426000,2498000,35,79700,956400,23.3,66,Low
LOC-0133,Telangana,Hyderabad,123,1916000,3479000,5395000,38,202500,2430000,30,40.2,Moderate
LOC-0051,Delhi,Faridabad,88,758000,2833000,3591000,29,149300,1791600,34.9,55.5,Moderate
LOC-0053,Andhra Pradesh,Visakhapatnam,63,1954000,950000,2904000,58,107400,1288800,29.4,92.8,Moderate
LOC-0081,Madhya Pradesh,Jabalpur,223,1930000,4193000,6123000,13,64300,771600,-2.4,68.9,Negative ROI
LOC-0188,Karnataka,Shivamogga,126,737000,2907000,3644000,23,114600,1375200,22.7,89.6,Low
LOC-0122,Tamil Nadu,Vellore,110.13,1164000,2700000,3864000,72,386800,4641600,105.1,45.5,Excellent
LOC-0192,Delhi,New Delhi,112,1350000,1740000,3090000,26,137800,1653600,38.5,92.1,Moderate
LOC-0047,Maharashtra,Thane,276,1265000,1990000,3255000,24,74100,889200,12.3,81.7,Low
LOC-0089,Rajasthan,Jaipur,82,348000,869000,1217000,13,35500,426000,20,70.5,Low
LOC-0070,Tamil Nadu,Chennai,208,812000,1927000,2739000,57,290800,3489600,112.4,81.5,Excellent
LOC-0068,West Bengal,Howrah,94,1728000,4891000,6619000,48,169900,2038800,15.8,76.8,Low
LOC-0186,Gujarat,Bhavnagar,25,1905000,1044000,2949000,102,533100,6397200,201.9,41,Excellent
LOC-0034,Kerala,Kozhikode,122,377000,4925000,5302000,45,168200,2018400,23.1,84.9,Low
LOC-0039,Andhra Pradesh,Guntur,83,1847000,1871000,3718000,44,188100,2257200,45.7,80.5,Moderate
LOC-0104,Tamil Nadu,Vellore,317,1153000,3266000,4419000,96,213200,2558400,42.9,52,Moderate
LOC-0052,Gujarat,Surat,46,855000,1412000,2267000,30,127500,1530000,52.5,80.8,Strong
LOC-0108,West Bengal,Asansol,167,1241000,1175000,2416000,62,256700,3080400,112.5,68.4,Excellent
LOC-0171,Telangana,Warangal,225,806000,4701000,5507000,72,196300,2355600,27.8,79.9,Moderate
LOC-0005,Haryana,Gurugram,75,354000,2391000,2745000,47,230300,2763600,85.7,74.2,Excellent
LOC-0103,Haryana,Faridabad,27,882000,1393000,2275000,29,122400,1468800,49.6,59.9,Moderate
LOC-0168,Maharashtra,Aurangabad,237,1632000,1687000,3319000,76,267900,3214800,81.9,69.5,Excellent
LOC-0038,Punjab,Patiala,104,1078000,4216000,5294000,78,352100,4225200,64.8,87.7,Strong
LOC-0117,Punjab,Chandigarh,153,544000,1813000,2357000,54,227500,2730000,100.8,74.1,Excellent
LOC-0125,West Bengal,Howrah,88,374000,1799000,2173000,21,98400,1180800,39.3,69.7,Moderate
LOC-0149,Maharashtra,Kolhapur,64,1847000,1702000,3549000,65,295800,3549600,85,46.2,Excellent
LOC-0032,Madhya Pradesh,Gwalior,82,1309000,3477000,4786000,111,342900,4114800,71,63.3,Strong
LOC-0064,Kerala,Kozhikode,36,610000,4043000,4653000,58,290300,3483600,59.9,87.4,Strong
LOC-0048,Telangana,Warangal,71,1765000,4331000,6096000,38,81100,973200,1,90,Low
LOC-0197,Gujarat,Surat,115,1066000,2080000,3146000,67,292000,3504000,96.4,51.6,Excellent
LOC-0096,Telangana,Nizamabad,71,616000,2270000,2886000,58,310300,3723600,114,48.4,Excellent
LOC-0178,Kerala,Thrissur,303,791000,2731000,3522000,34,124700,1496400,27.5,63.5,Moderate
LOC-0163,Karnataka,Mysuru,48,1339000,1985000,3324000,42,108600,1303200,24.2,75.6,Low
LOC-0008,Punjab,Jalandhar,61,1615000,4487000,6102000,20,97700,1172400,4.2,84,Low
LOC-0105,Haryana,Panipat,91,1226000,3766000,4992000,91,176500,2118000,27.4,83.8,Moderate
LOC-0076,Kerala,Thrissur,211,578000,1088000,1666000,57,134300,1611600,81.7,50.5,Excellent
LOC-0044,Andhra Pradesh,Vijayawada,180,347000,3466000,3813000,27,59700,716400,3.8,60.7,Low
LOC-0023,Maharashtra,Solapur,37,901000,1133000,2034000,39,124900,1498800,58.7,52.6,Strong
LOC-0073,Delhi,Gurugram,49,588000,4752000,5340000,68,365600,4387200,67.2,80.6,Strong
LOC-0016,Andhra Pradesh,Visakhapatnam,65,697000,3136000,3833000,49,197100,2365200,46.7,75.6,Moderate
LOC-0169,Kerala,Thiruvananthapuram,26,209000,1851000,2060000,54,174300,2091600,86.5,66.7,Excellent

