Session_ID,Station_ID,Session_Date,Energy_Consumed_kWh,Charging_Duration_Mins,Revenue_INR,Peak_Hour_Flag,User_Rating
SES-000388,ST-0164,2023-12-05,43.04,43.0,890.98,Yes,3.2
SES-000679,ST-0278,2023-05-08,45.88,45.9,949.61,Yes,3.3
SES-001493,ST-0235,2024-08-23,5.59,15.3,77.19,Yes,3.3
SES-000986,ST-0025,2024-03-23,,36.9,2029.73,No,3.6
SES-001028,ST-0108,2024-08-08,2.54,46.1,23.35,Yes,4.8
SES-000601,ST-0055,2023-10-31,21.37,21.4,384.68,No,4.6
SES-000370,ST-0286,2023-11-03,23.65,23.7,489.62,Yes,4.1
SES-000667,ST-0142,2023-08-10,65.86,26.3,1448.91,No,3.5
SES-000482,ST-0043,2023-08-23,117.46,47.0,2584.08,No,4.9
SES-000138,ST-0207,2023-11-08,7.14,19.5,98.54,Yes,3.5
SES-001200,ST-0225,2023-10-10,6.83,18.6,81.93,No,4.0
SES-000465,ST-0029,2023-04-08,15.14,41.3,208.88,Yes,4.0
SES-000072,ST-0244,2023-10-02,7.82,21.3,93.79,No,4.1
SES-001339,ST-0188,2024-12-13,34.26,34.3,616.6,No,3.2
SES-001112,ST-0159,2023-11-17,85.25,34.1,2156.85,Yes,3.3
SES-000477,ST-0119,2023-07-29,2.76,50.2,25.38,Yes,4.6
SES-000874,ST-0068,2024-07-16,1.9,34.5,15.2,No,4.1
SES-000488,ST-0031,2024-05-18,44.14,44.1,913.61,Yes,3.2
SES-000069,ST-0139,2024-09-18,5.17,14.1,62.08,No,3.9
SES-000059,ST-0211,2024-03-08,34.55,34.6,715.23,Yes,4.7
SES-001179,ST-0087,2023-01-18,1.2,21.8,11.01,Yes,3.9
SES-000281,ST-0088,2024-10-02,5.69,15.5,68.29,No,3.6
SES-000404,ST-0251,2023-07-31,101.45,40.6,2231.81,No,3.3
SES-001164,ST-0060,2023-04-14,2.58,47.0,20.67,No,5.0
SES-000862,ST-0274,2023-10-21,1.06,19.3,8.5,No,5.0
SES-001317,ST-0167,2024-01-02,86.91,34.8,1912.04,No,4.3
SES-001095,ST-0191,2024-06-23,104.4,41.8,2296.78,No,4.9
SES-001174,ST-0071,2023-01-22,,39.6,2179.18,No,4.5
SES-000419,ST-0064,2023-02-14,41.98,42.0,755.7,No,3.9
SES-000659,ST-0100,2023-02-17,2.63,47.8,24.19,Yes,4.9
SES-000863,ST-0109,2023-10-05,66.95,26.8,1472.86,No,3.2
SES-000319,ST-0031,2023-03-17,26.72,26.7,480.93,No,3.5
SES-001102,ST-0056,2024-04-08,83.71,33.5,2117.96,Yes,3.2
SES-000366,ST-0221,2023-12-04,37.3,37.3,772.02,Yes,3.4
SES-000580,ST-0189,2023-01-30,104.13,41.7,2634.56,Yes,4.3
SES-001169,ST-0065,2024-12-18,3.09,56.2,24.74,No,3.7
SES-000782,ST-0046,2024-01-29,13.69,37.3,188.95,Yes,4.8
SES-001089,ST-0068,2024-11-03,1.34,24.4,12.36,Yes,4.4
SES-000569,ST-0147,2024-05-11,3.0,54.5,27.57,Yes,3.8
SES-001417,ST-0073,2023-08-09,25.36,25.4,456.51,No,3.6
SES-000274,ST-0124,2023-11-15,303.499150685054,17.0,85.95,Yes,4.1
SES-000334,ST-0092,2023-05-14,13.37,36.5,184.49,Yes,3.4
SES-000480,ST-0142,2024-10-21,43.98,17.6,1112.78,Yes,3.7
SES-000403,ST-0024,2024-05-04,36.83,36.8,662.97,No,3.5
SES-000471,ST-0169,2024-06-07,98.13,39.3,2158.83,No,4.0
SES-000926,ST-0042,2024-05-30,17.69,48.2,244.08,Yes,4.1
SES-000985,ST-0035,2024-12-06,2.76,50.2,22.1,No,3.7
SES-000227,ST-0300,2024-06-30,5.9,16.1,81.39,Yes,4.6
SES-000102,ST-0249,2024-10-07,3.17,57.6,29.15,Yes,4.0
SES-001446,ST-0268,2024-06-26,27.08,27.1,560.53,Yes,3.7
SES-000961,ST-0159,2023-08-17,62.56,25.0,1376.43,No,4.4
SES-000306,ST-0055,2024-06-03,20.31,20.3,420.44,Yes,3.8
SES-000554,ST-0229,2023-09-30,10.23,27.9,122.77,No,3.9
SES-000780,ST-0216,2024-01-06,30.78,30.8,554.04,No,4.3
SES-000565,ST-0230,2024-11-07,2.03,36.8,16.2,No,4.8
SES-001041,ST-0194,2024-12-25,25.7,25.7,532.04,Yes,3.1
SES-000860,ST-0201,2024-09-06,1.08,,8.65,No,4.8
SES-001272,ST-0147,2023-12-30,1.07,19.5,9.84,Yes,4.6
SES-000312,ST-0023,2023-12-10,71.99,28.8,1583.71,No,3.1
SES-000337,ST-0068,2024-09-22,1.94,35.3,15.52,No,3.7
SES-001098,ST-0056,2024-03-21,97.5,39.0,2145.05,No,3.1
SES-000287,ST-0273,2024-11-24,16.14,44.0,222.68,Yes,3.8
SES-000324,ST-0156,2023-08-13,,40.8,206.52,Yes,4.5
SES-000066,ST-0273,2024-05-22,9.19,25.1,110.24,No,3.5
SES-001116,ST-0187,2023-04-16,2.87,52.1,22.94,No,3.6
SES-000917,ST-0224,2023-11-13,85.63,34.3,1883.79,No,4.5
SES-000264,ST-0143,2023-11-27,46.76,46.8,841.7,No,4.8
SES-001157,ST-0086,2024-02-17,22.83,22.8,472.66,Yes,3.0
SES-000473,ST-0036,2024-09-23,8.12,22.2,112.12,Yes,3.1
SES-001283,ST-0227,2024-06-03,39.66,39.7,713.96,No,3.9
SES-000912,ST-0170,2024-10-24,1.87,33.9,14.94,No,3.2
SES-000999,ST-0063,2023-08-03,104.55,41.8,2645.11,Yes,4.2
SES-000845,ST-0002,2023-06-08,90.09,36.0,2279.18,Yes,3.8
SES-000979,ST-0190,2023-11-02,46.28,46.3,833.06,No,4.3
SES-000158,ST-0266,2024-03-02,44.44,44.4,,No,3.3
SES-000721,ST-0187,2023-12-13,2.95,53.6,23.56,No,3.5
SES-000924,ST-0084,2024-02-05,3.07,55.8,28.25,Yes,3.8
SES-001299,ST-0168,2023-09-16,49.7,49.7,1028.76,Yes,4.8
SES-001428,ST-0080,2024-01-06,64.79,25.9,1425.43,No,4.5
SES-000581,ST-0025,2023-12-01,50.12,20.0,1102.74,No,3.8
SES-000543,ST-0026,2023-07-07,2.7,49.0,24.8,Yes,3.4
SES-000788,ST-0119,2023-06-07,2.73,49.7,21.86,No,4.3
SES-001277,ST-0239,2023-03-06,7.16,19.5,85.92,No,3.6
SES-001175,ST-0072,2023-03-20,18.43,50.3,221.15,No,4.9
SES-000047,ST-0257,2023-01-06,,46.9,845.0,No,3.8
SES-000791,ST-0047,2024-04-04,18.1,49.4,217.14,No,4.1
SES-000736,ST-0167,2024-02-09,115.24,46.1,2915.5,Yes,3.7
SES-000822,ST-0028,2023-09-21,3.67,66.7,29.35,No,3.5
SES-000594,ST-0001,2023-01-02,78.71,31.5,1731.6,No,3.4
SES-000198,ST-0028,2023-04-28,2.16,39.3,19.9,Yes,5.0
SES-000249,ST-0285,2023-08-15,112.94,45.2,2484.72,No,4.9
SES-000174,ST-0035,2024-08-02,2.57,46.8,20.6,No,3.5
SES-000284,ST-0279,2024-12-11,3.45,62.7,27.58,No,3.2
SES-000872,ST-0035,2024-02-28,2.69,48.8,,No,4.7
SES-000641,ST-0163,2024-05-06,1.59,28.9,12.72,No,3.6
SES-000886,ST-0218,2023-05-01,79.51,31.8,1749.3,No,4.5
SES-001298,ST-0142,2024-08-10,106.67,42.7,2346.67,No,3.7
SES-000561,ST-0144,2023-05-23,1.93,35.1,15.46,No,4.9
SES-001168,ST-0043,2023-04-07,119.34,47.7,2625.56,No,3.6
SES-001300,ST-0243,2023-10-20,24.46,24.5,440.29,No,4.2
SES-000602,ST-0045,2024-04-11,88.79,35.5,1953.41,No,3.8
SES-001363,ST-0277,2024-12-16,8.22,22.4,98.58,No,4.2
SES-001478,ST-0037,2024-08-07,35.76,35.8,740.26,Yes,3.1
SES-000814,ST-0192,2024-12-23,3.58,65.1,32.96,Yes,3.8
SES-001335,ST-0138,2023-08-22,56.49,22.6,1429.09,Yes,3.8
SES-001205,ST-0043,2023-01-09,83.02,33.2,2100.37,Yes,4.7
SES-000364,ST-0013,2023-03-15,114.86,45.9,2906.05,Yes,3.8
SES-000689,ST-0010,2023-02-19,10.11,27.6,121.35,No,4.1
SES-000401,ST-0022,2024-02-25,19.77,,237.2,No,3.7
SES-000205,ST-0204,2023-11-28,49.91,49.9,898.3,No,4.7
SES-000836,ST-0206,2023-01-13,18.61,50.8,223.3,No,3.8
SES-000115,ST-0201,2024-02-24,2.83,51.5,22.68,No,3.1
SES-000910,ST-0138,2024-10-19,81.06,32.4,2050.74,Yes,3.9
SES-001436,ST-0169,2024-09-12,93.48,37.4,2056.53,No,4.9
SES-000994,ST-0166,2023-01-04,8.04,21.9,110.94,Yes,3.4
SES-001261,ST-0011,2024-10-13,8.39,22.9,100.62,No,3.4
SES-000923,ST-0083,2024-02-12,97.93,39.2,2154.41,No,3.0
SES-000018,ST-0194,2024-05-17,20.99,21.0,434.53,Yes,3.2
SES-000777,ST-0111,2023-04-25,11.35,31.0,156.62,Yes,3.7
SES-000466,ST-0192,2024-12-14,3.0,54.6,24.02,No,3.5
SES-001332,ST-0024,2023-02-12,28.09,28.1,581.45,Yes,4.6
SES-000493,ST-0228,2023-11-15,27.4,27.4,493.12,No,4.2
SES-000787,ST-0079,2024-04-30,48.08,48.1,995.3,Yes,4.1
SES-000848,ST-0241,2023-04-16,2.01,36.6,16.09,No,4.6
SES-000843,ST-0185,2024-05-06,48.68,19.5,1231.66,Yes,4.0
SES-000884,ST-0146,2024-07-18,6.07,16.6,72.86,No,3.3
SES-000749,ST-0084,2024-02-03,3.19,58.0,25.51,No,4.5
SES-001455,ST-0263,2024-12-17,6.62,18.1,79.46,No,3.1
SES-000583,ST-0290,2024-11-17,42.15,42.1,758.62,No,5.0
SES-000795,ST-0024,2024-08-02,,47.8,989.08,Yes,4.2
SES-000034,ST-0103,2023-02-16,10.03,27.3,138.36,Yes,4.5
SES-001227,ST-0185,2024-10-05,95.1,38.0,2405.99,Yes,4.8
SES-000331,ST-0082,2024-01-17,19.47,53.1,268.62,Yes,3.0
SES-001097,ST-0275,2024-10-23,35.64,35.6,641.52,No,3.4
SES-000362,ST-0146,2024-06-09,19.23,52.5,230.81,No,4.2
SES-001334,ST-0153,2024-03-17,2.13,,17.07,No,3.0
SES-000355,ST-0267,2023-02-12,7.32,20.0,100.96,Yes,3.4
SES-000231,ST-0195,2023-11-22,23.13,23.1,416.42,No,3.6
SES-001357,ST-0009,2024-05-30,29.03,29.0,522.53,No,3.8
SES-000742,ST-0156,2023-10-19,16.52,45.0,227.92,Yes,4.9
SES-001054,ST-0205,2024-05-17,40.14,40.1,722.61,No,3.5
SES-001204,ST-0214,2023-12-22,14.8,40.4,177.58,No,4.4
SES-000800,ST-0101,2024-02-04,30.22,30.2,543.97,No,4.5
SES-000342,ST-0183,2024-11-10,12.33,33.6,147.97,No,3.6
SES-001310,ST-0267,2024-07-26,7.55,20.6,90.58,No,4.2
SES-000357,ST-0228,2024-03-18,22.13,22.1,398.34,No,4.8
SES-000929,ST-0138,2023-02-08,96.79,38.7,2129.3,No,4.4
SES-000811,ST-0116,2023-08-04,65.46,26.2,1440.04,No,3.3
SES-001085,ST-0146,2024-10-22,6.67,18.2,80.09,No,3.4
SES-001039,ST-0284,2023-04-06,111.66,44.7,2824.98,Yes,3.4
SES-000437,ST-0165,2023-05-08,34.14,34.1,706.68,Yes,4.7
SES-000094,ST-0207,2023-12-30,11.07,30.2,132.83,No,3.9
SES-001124,ST-0275,2024-12-05,31.43,31.4,650.57,Yes,4.0
SES-000288,ST-0218,2023-10-29,69.16,27.7,1521.59,No,4.6
SES-000738,ST-0110,2023-10-03,41.02,41.0,738.42,No,4.5
SES-000308,ST-0262,2023-07-25,11.94,32.6,164.79,Yes,3.0
SES-001418,ST-0063,2023-02-03,108.6,43.4,2389.28,No,4.0
SES-001241,ST-0130,2024-06-14,10.55,28.8,126.56,No,3.3
SES-000664,ST-0195,2024-11-09,28.28,28.3,509.11,No,4.1
SES-000162,ST-0224,2023-02-03,45.38,18.2,998.27,No,3.5
SES-001304,ST-0042,2023-05-24,6.85,18.7,94.55,Yes,4.4
SES-000915,ST-0120,2023-10-16,95.9,38.4,2426.28,Yes,4.4
SES-001308,ST-0081,2023-08-01,110.32,44.1,2426.95,No,4.9
SES-000789,ST-0210,2024-03-04,34.78,34.8,720.0,Yes,3.4
SES-000113,ST-0105,2024-06-26,41.4,41.4,745.27,No,3.2
SES-000527,ST-0183,2023-07-13,6.93,18.9,83.15,No,4.4
SES-000110,ST-0200,2023-06-25,107.12,42.8,2710.24,Yes,4.9
SES-001091,ST-0107,2024-12-05,,31.2,645.92,Yes,4.0
SES-000536,ST-0042,2024-12-14,17.97,49.0,247.93,Yes,3.0
SES-000189,ST-0299,2024-05-02,2.26,41.1,18.07,No,3.6
SES-001096,ST-0121,2023-10-12,85.01,34.0,2150.71,Yes,4.1
SES-000709,ST-0220,2023-05-20,5.15,14.0,61.79,No,3.7
SES-000454,ST-0284,2023-07-14,75.51,30.2,1661.11,No,3.5
SES-000406,ST-0273,2024-11-11,17.33,47.3,207.99,No,3.3
SES-001032,ST-0201,2024-10-13,2.94,53.4,27.02,Yes,3.4
SES-001477,ST-0031,2023-01-27,38.57,38.6,694.32,No,4.4
SES-001498,ST-0189,2023-08-08,66.44,26.6,1461.59,No,3.9
SES-000730,ST-0289,2023-07-10,9.43,25.7,130.12,Yes,4.3
SES-000683,ST-0038,2023-08-20,22.63,22.6,468.5,Yes,4.5
SES-001186,ST-0182,2023-01-14,79.87,31.9,1757.13,No,3.7
SES-001004,ST-0097,2024-04-11,5.99,16.3,71.93,No,3.8
SES-001380,ST-0211,2024-08-04,41.15,41.2,740.71,No,3.1
SES-000019,ST-0273,2023-11-14,13.77,37.6,165.22,No,4.4
SES-001402,ST-0196,2023-03-04,3.17,57.6,25.35,No,3.4
SES-000184,ST-0189,2024-12-25,114.65,45.9,2522.32,No,4.0
SES-000950,ST-0290,2024-03-28,49.83,49.8,896.9,No,3.3
SES-001323,ST-0016,2023-09-27,3.58,65.2,28.67,No,4.3
SES-000650,ST-0011,2023-08-01,15.43,42.1,185.19,No,4.2
SES-001055,ST-0066,2024-05-13,3.67,66.6,29.32,No,4.8
SES-000371,ST-0300,2024-02-18,17.63,48.1,211.55,No,4.0
SES-000697,ST-0170,2024-10-16,2.05,37.3,16.43,No,3.7
SES-000858,ST-0092,2023-03-28,17.62,48.1,211.49,No,4.2
SES-001024,ST-0222,2024-02-29,57.53,23.0,1455.39,Yes,4.0
SES-001067,ST-0111,2023-08-11,15.16,41.3,209.22,Yes,4.8
SES-000279,ST-0170,2024-06-16,3.22,58.6,25.8,No,4.1
SES-000269,ST-0260,2024-03-06,3.66,66.6,33.69,Yes,3.9
SES-001314,ST-0292,2024-05-25,2.12,38.5,19.5,Yes,4.7
SES-000257,ST-0078,2023-05-11,72.02,28.8,1584.41,No,4.4
SES-000213,ST-0259,2024-08-23,42.19,42.2,759.46,No,3.5
SES-000260,ST-0019,2023-01-24,35.54,35.5,639.64,No,4.2
SES-000574,ST-0096,2024-05-31,47.02,47.0,846.33,No,4.3
SES-001099,ST-0108,2023-07-22,1.61,29.3,12.88,No,4.6
SES-001218,ST-0273,2023-03-24,16.84,45.9,202.04,No,4.8
SES-000236,ST-0142,2023-01-03,116.96,46.8,2573.11,No,3.2
SES-000353,ST-0118,2023-05-18,,26.7,117.47,No,4.9
SES-001340,ST-0154,2024-03-13,9.22,25.2,110.68,No,3.8
SES-001222,ST-0286,2024-09-03,25.23,25.2,454.17,No,4.2
SES-000783,ST-0075,2023-05-14,49.7,49.7,894.69,No,4.1
SES-000022,ST-0098,2024-05-02,1.91,34.8,15.32,No,3.5
SES-001068,ST-0135,2023-08-14,6.29,17.2,86.81,Yes,4.9
SES-000958,ST-0004,2023-09-08,59.16,23.7,1301.41,No,3.4
SES-000660,ST-0291,2023-10-28,1.47,26.7,11.73,No,4.1
SES-000916,ST-0283,2023-03-08,59.78,23.9,1315.25,No,3.5
SES-001239,ST-0170,2024-02-07,2.69,48.8,21.49,No,4.5
SES-000071,ST-0081,2024-08-13,80.96,32.4,2048.35,Yes,3.3
SES-001359,ST-0139,2023-07-28,19.28,52.6,266.06,Yes,4.9
SES-000771,ST-0111,2023-12-26,15.56,42.4,214.76,Yes,3.1
SES-001416,ST-0279,2024-06-04,1.39,25.3,11.13,No,3.8
SES-001149,ST-0015,2024-05-02,106.35,42.5,2690.56,Yes,3.1
SES-000021,ST-0240,2024-05-16,3.33,60.5,26.63,No,3.9
SES-000906,ST-0063,2023-05-09,96.38,38.6,2120.43,No,3.6
SES-000997,ST-0042,2023-07-12,15.24,41.6,210.33,Yes,4.9
SES-001115,ST-0027,2023-05-05,19.31,52.7,231.76,No,4.6
SES-000790,ST-0261,2024-07-27,2.07,37.6,16.53,No,4.9
SES-001322,ST-0004,2023-04-24,75.26,30.1,1655.64,No,4.6
SES-000350,ST-0254,2024-02-10,42.74,42.7,769.36,No,4.7
SES-000700,ST-0088,2024-04-24,19.49,53.2,233.94,No,3.7
SES-000129,ST-0034,2024-09-25,19.53,53.3,234.33,No,5.0
SES-000828,ST-0127,2024-04-15,57.68,23.1,1269.02,No,3.1
SES-000085,ST-0215,2023-04-14,41.22,16.5,906.78,No,4.7
SES-001203,ST-0107,2024-04-10,43.79,43.8,788.28,No,4.0
SES-000333,ST-0257,2023-03-08,25.77,25.8,463.88,No,4.9
SES-000497,ST-0119,2024-05-07,3.54,64.4,32.57,Yes,4.6
SES-000737,ST-0187,2024-03-14,2.59,47.1,23.82,Yes,3.7
SES-000309,ST-0119,2023-12-16,2.51,45.6,20.05,No,3.5
SES-001016,ST-0253,2023-02-03,114.92,46.0,2528.21,No,4.9
SES-000489,ST-0251,2023-02-23,56.73,22.7,1247.99,No,3.9
SES-000756,ST-0139,2024-03-15,18.14,49.5,250.4,Yes,4.6
SES-001400,ST-0236,2024-06-02,46.19,46.2,956.2,Yes,3.6
SES-001337,ST-0124,2024-01-24,11.85,32.3,142.23,No,4.5
SES-001147,ST-0099,2023-04-20,22.01,22.0,455.59,Yes,3.8
SES-000008,ST-0090,2023-02-14,12.65,34.5,174.58,Yes,4.5
SES-001494,ST-0229,2023-08-14,13.55,36.9,162.57,No,4.1
SES-001224,ST-0284,2023-05-23,62.19,24.9,1368.09,No,3.4
SES-000463,ST-0097,2023-04-15,17.32,47.2,207.81,No,3.5
SES-000619,ST-0052,2023-05-15,38.02,38.0,684.36,No,3.4
SES-001002,ST-0179,2023-11-11,8.83,24.1,121.81,Yes,4.9
SES-000412,ST-0243,2024-08-12,,22.5,405.7,No,4.0
SES-000103,ST-0092,2024-01-06,15.21,41.5,182.57,No,5.0
SES-001252,ST-0026,2023-01-01,1.25,22.8,11.52,Yes,4.8
SES-000944,ST-0052,2023-03-31,44.83,44.8,806.97,No,4.1
SES-000720,ST-0017,2023-06-24,10.69,29.2,128.3,No,4.1
SES-000048,ST-0040,2023-06-25,3.36,61.1,30.92,Yes,4.4
SES-001362,ST-0195,2023-05-26,37.17,37.2,769.43,Yes,4.1
SES-000186,ST-0140,2023-05-07,79.1,31.6,1740.17,No,4.2
SES-000172,ST-0297,2023-12-24,15.65,42.7,215.98,Yes,3.7
SES-000530,ST-0122,2024-01-27,44.14,17.7,971.14,No,4.8
SES-000797,ST-0152,2024-02-12,64.1,25.6,1410.22,No,3.6
SES-000969,ST-0224,2024-05-02,107.73,43.1,2369.98,No,3.7
SES-000803,ST-0121,2023-01-10,64.92,26.0,1428.23,No,3.5
SES-000062,ST-0241,2024-08-22,1.95,,15.61,No,4.5
SES-000625,ST-0195,2023-07-20,28.74,28.7,594.98,Yes,5.0
SES-000503,ST-0232,2023-11-04,14.32,39.1,171.84,No,4.0
SES-001188,ST-0291,2024-09-02,1.76,32.0,14.08,No,4.8
SES-001443,ST-0196,2024-04-26,1.1,19.9,8.76,No,3.1
SES-000286,ST-0213,2024-09-17,47.07,47.1,974.25,Yes,3.8
SES-000195,ST-0243,2023-01-24,22.21,22.2,399.72,No,4.5
SES-001475,ST-0148,2023-02-10,5.67,15.5,68.08,No,4.5
SES-000692,ST-0122,2024-02-17,91.42,36.6,2011.3,No,4.4
SES-000933,ST-0172,2024-10-31,,63.3,27.85,No,3.3
SES-000558,ST-0136,2024-01-23,12.6,34.4,151.22,No,3.6
SES-001027,ST-0187,2024-06-15,2.35,42.8,18.82,No,4.4
SES-000485,ST-0116,2024-12-13,66.74,26.7,1468.19,No,4.0
SES-001156,ST-0028,2024-03-08,3.65,66.3,29.17,No,4.0
SES-000815,ST-0261,2023-05-17,2.59,47.2,23.86,Yes,3.5
SES-000774,ST-0231,2024-04-28,27.59,27.6,571.14,Yes,3.8
SES-001391,ST-0235,2024-01-03,13.54,36.9,162.53,No,4.2
SES-001349,ST-0300,2023-12-25,12.5,34.1,172.48,Yes,3.3
SES-000399,ST-0239,2023-02-28,9.28,25.3,128.13,Yes,3.1
SES-001248,ST-0104,2024-07-29,10.7,29.2,128.42,No,4.5
SES-000418,ST-0110,2023-04-08,39.79,39.8,716.26,No,3.8
SES-000732,ST-0203,2023-03-28,43.73,43.7,787.16,No,3.5
SES-000520,ST-0080,2024-01-06,116.35,46.5,2559.68,No,3.4
SES-000128,ST-0018,2023-07-30,19.97,54.5,239.69,No,3.8
SES-001140,ST-0050,2023-11-16,10.98,30.0,131.81,No,3.4
SES-000728,ST-0004,2024-09-22,64.49,25.8,1418.82,No,3.5
SES-000170,ST-0056,2023-11-09,56.9,22.8,1439.6,Yes,3.8
SES-000120,ST-0144,2023-06-18,3.35,60.9,26.78,No,4.5
SES-001240,ST-0154,2023-01-07,6.87,18.7,82.4,No,3.3
SES-001128,ST-0169,2024-02-28,68.42,27.4,1505.33,No,3.7
SES-000908,ST-0045,2024-07-26,110.65,44.3,2434.28,No,3.9
SES-001162,ST-0264,2023-03-09,8.47,23.1,116.9,Yes,4.7
SES-000509,ST-0090,2024-05-27,6.43,17.5,88.68,Yes,4.8
SES-000585,ST-0243,2024-12-09,41.69,41.7,862.96,Yes,3.2
SES-000947,ST-0287,2024-01-08,11.83,32.3,163.2,Yes,3.1
SES-000201,ST-0194,2024-02-22,27.91,27.9,577.74,Yes,3.7
