Session_ID,Station_ID,Session_Date,Energy_Consumed_kWh,Charging_Duration_Mins,Revenue_INR,Peak_Hour_Flag,User_Rating,Session_Year
SES-000530,ST-0122,27-01-2024,44.14,17.7,971,No,4.8,2024
SES-000797,ST-0152,12-02-2024,64.1,25.6,1410,No,3.6,2024
SES-000969,ST-0224,02-05-2024,107.73,43.1,2370,No,3.7,2024
SES-000062,ST-0241,22-08-2024,1.95,35.83,16,No,4.5,2024
SES-001188,ST-0291,02-09-2024,1.76,32,14,No,4.8,2024
SES-001443,ST-0196,26-04-2024,1.1,19.9,9,No,3.1,2024
SES-000692,ST-0122,17-02-2024,91.42,36.6,2011,No,4.4,2024
SES-000933,ST-0172,31-10-2024,34.51,63.3,28,No,3.3,2024
SES-000558,ST-0136,23-01-2024,12.6,34.4,151,No,3.6,2024
SES-001027,ST-0187,15-06-2024,2.35,42.8,19,No,4.4,2024
SES-000485,ST-0116,13-12-2024,66.74,26.7,1468,No,4,2024
SES-001156,ST-0028,08-03-2024,3.65,66.3,29,No,4,2024
SES-001391,ST-0235,03-01-2024,13.54,36.9,163,No,4.2,2024
SES-001248,ST-0104,29-07-2024,10.7,29.2,128,No,4.5,2024
SES-000520,ST-0080,06-01-2024,116.35,46.5,2560,No,3.4,2024
SES-000728,ST-0004,22-09-2024,64.49,25.8,1419,No,3.5,2024
SES-001128,ST-0169,28-02-2024,68.42,27.4,1505,No,3.7,2024
SES-000908,ST-0045,26-07-2024,110.65,44.3,2434,No,3.9,2024
SES-000250,ST-0184,07-01-2024,3.48,63.2,28,No,3.7,2024
SES-000316,ST-0007,22-04-2024,27.34,27.3,492,No,3.1,2024
SES-000147,ST-0163,22-01-2024,3.67,66.7,29,No,4.3,2024
SES-000142,ST-0011,09-08-2024,13.52,36.9,162,No,4.7,2024
SES-001472,ST-0289,13-11-2024,5.34,14.6,64,No,3.1,2024
SES-000016,ST-0283,17-02-2024,72.82,29.1,1602,No,3.2,2024
SES-000573,ST-0086,16-06-2024,40.18,40.2,723,No,4.3,2024
SES-001492,ST-0277,04-10-2024,6.53,17.8,78,No,3.1,2024
SES-000757,ST-0278,07-06-2024,45.95,46,827,No,3.2,2024
SES-000100,ST-0289,16-09-2024,19.79,54,237,No,4.4,2024
SES-001165,ST-0045,09-12-2024,112.34,44.9,2472,No,4.6,2024
SES-000003,ST-0191,27-11-2024,51.74,20.7,1138,No,4,2024
SES-001078,ST-0077,01-04-2024,6.89,18.8,83,No,4.2,2024
SES-001414,ST-0263,28-08-2024,16.82,45.9,202,No,3.7,2024
SES-000081,ST-0226,20-11-2024,2.82,51.3,23,No,4,2024
SES-000038,ST-0118,30-05-2024,9.18,25,110,No,3.4,2024
SES-001423,ST-0107,24-06-2024,42.71,42.7,769,No,4.3,2024
SES-000613,ST-0106,06-11-2024,74.67,29.9,1643,No,3.6,2024
SES-001458,ST-0037,09-04-2024,26.28,26.3,473,No,3.5,2024
SES-000183,ST-0213,23-10-2024,34.51,47.9,862,No,4.6,2024
SES-000067,ST-0023,21-07-2024,114.89,46,2528,No,4.9,2024
SES-001197,ST-0034,05-04-2024,13.86,37.8,166,No,3.9,2024
SES-000408,ST-0140,29-05-2024,114.33,35.83,2515,No,3.9,2024
SES-000469,ST-0108,13-11-2024,2.93,53.2,23,No,4.2,2024
SES-000173,ST-0287,03-03-2024,7.86,21.4,94,No,5,2024
SES-000663,ST-0267,06-06-2024,17.7,48.3,212,No,3.6,2024
SES-001260,ST-0088,23-09-2024,13.53,36.9,162,No,4.9,2024
SES-000541,ST-0253,06-04-2024,83.24,33.3,1831,No,3.4,2024
SES-000612,ST-0282,06-02-2024,3.01,54.8,24,No,3.7,2024
SES-000676,ST-0234,05-03-2024,40.78,40.8,677.15,No,3.7,2024
SES-000061,ST-0147,27-04-2024,3.23,58.7,26,No,4.9,2024
SES-000499,ST-0255,27-04-2024,1.57,28.5,13,No,4.7,2024
SES-000280,ST-0006,06-09-2024,13.83,37.7,166,No,5,2024
SES-001259,ST-0286,28-11-2024,44.68,44.7,804,No,3.2,2024
SES-001177,ST-0267,20-08-2024,10.98,29.9,132,No,5,2024
SES-000130,ST-0213,26-10-2024,20.24,20.2,364,No,4.1,2024
SES-000241,ST-0298,18-11-2024,79.58,31.8,1751,No,3.6,2024
SES-001037,ST-0076,04-10-2024,9.22,25.2,111,No,4,2024
SES-001146,ST-0115,14-08-2024,39.92,39.9,719,No,3.9,2024
SES-000545,ST-0269,01-10-2024,3.1,56.4,25,No,4.1,2024
SES-000348,ST-0144,20-08-2024,3.66,66.6,29,No,3.2,2024
SES-001213,ST-0090,07-11-2024,18.26,49.8,219,No,4.8,2024
SES-001000,ST-0152,13-08-2024,113.75,45.5,2502,No,3.3,2024
SES-001433,ST-0041,04-04-2024,49.42,49.4,889,No,4.8,2024
SES-001379,ST-0043,01-07-2024,81.76,32.7,1799,No,4.2,2024
SES-000392,ST-0212,01-05-2024,105.11,42,2312,No,3.8,2024
SES-001330,ST-0225,19-09-2024,16.25,44.3,195,No,3.8,2024
SES-000117,ST-0271,29-03-2024,42.46,42.5,764,No,5,2024
SES-000105,ST-0213,25-05-2024,46.25,46.3,833,No,4.3,2024
SES-001231,ST-0265,13-03-2024,72.06,28.8,1585,No,3.3,2024
SES-000987,ST-0272,07-08-2024,37.24,37.2,670,No,4,2024
SES-000024,ST-0176,13-01-2024,61.97,35.83,1363,No,4.3,2024
SES-001040,ST-0193,05-10-2024,37.59,37.6,677,No,3.8,2024
SES-001114,ST-0292,10-04-2024,1.47,26.7,12,No,3.8,2024
SES-001305,ST-0090,22-02-2024,13.62,37.2,163,No,3.7,2024
SES-000825,ST-0073,09-02-2024,48.29,48.3,677.15,No,3.1,2024
SES-000224,ST-0038,27-11-2024,41.67,41.7,750,No,4.3,2024
SES-000389,ST-0214,09-09-2024,12.57,34.3,151,No,3,2024
SES-000587,ST-0258,22-01-2024,47.65,19.1,1048,No,3.3,2024
SES-000826,ST-0171,20-03-2024,7.14,19.5,86,No,3,2024
SES-000576,ST-0274,15-07-2024,2.11,38.3,17,No,3.3,2024
SES-000804,ST-0137,25-12-2024,8.2,22.4,98,No,3.2,2024
SES-000298,ST-0290,07-05-2024,47.57,47.6,856,No,4.5,2024
SES-000962,ST-0188,16-11-2024,20.78,20.8,374,No,3.6,2024
SES-001137,ST-0172,30-01-2024,3.12,56.8,25,No,4.8,2024
SES-001228,ST-0130,20-01-2024,10.21,27.8,123,No,3.1,2024
SES-001139,ST-0205,24-06-2024,24.33,24.3,438,No,3.6,2024
SES-000820,ST-0089,20-08-2024,1.6,29.1,13,No,4.2,2024
SES-000996,ST-0126,15-08-2024,13.32,36.3,160,No,3.8,2024
SES-000310,ST-0131,12-12-2024,67.72,27.1,1490,No,4.2,2024
SES-000620,ST-0284,17-08-2024,69.99,28,1540,No,3.5,2024
SES-000578,ST-0217,07-07-2024,2.9,52.8,23,No,3.5,2024
SES-000918,ST-0131,15-10-2024,96.31,38.5,677.15,No,4.7,2024
SES-000628,ST-0229,13-03-2024,15.32,41.8,184,No,4,2024
SES-000344,ST-0248,15-06-2024,3.05,55.4,24,No,3.5,2024
SES-000156,ST-0222,13-10-2024,116.69,46.7,2567,No,4.5,2024
SES-001208,ST-0263,11-11-2024,5.58,15.2,67,No,3.7,2024
SES-001419,ST-0157,26-10-2024,33.47,33.5,602,No,4.2,2024
SES-000481,ST-0113,29-02-2024,23.39,23.4,421,No,4.4,2024
SES-001406,ST-0249,07-06-2024,3.41,62,27,No,3.8,2024
SES-001280,ST-0175,05-11-2024,9.32,25.4,112,No,4.2,2024
SES-000472,ST-0184,22-12-2024,2.21,40.2,18,No,4.1,2024
SES-000017,ST-0191,31-10-2024,44.18,17.7,972,No,3.2,2024
SES-001009,ST-0283,26-01-2024,59.82,23.9,1316,No,4.7,2024
SES-000957,ST-0160,21-10-2024,93.78,37.5,2063,No,5,2024
SES-000322,ST-0169,04-01-2024,77.87,31.1,1713,No,4.6,2024
SES-000875,ST-0044,19-05-2024,17.97,49,216,No,4.6,2024
SES-001353,ST-0247,01-01-2024,3.35,60.9,27,No,4.7,2024
SES-000090,ST-0173,30-05-2024,107.61,43,2367,No,4,2024
SES-000157,ST-0017,06-12-2024,8.79,24,105,No,4.2,2024
SES-000716,ST-0246,21-11-2024,112.12,44.8,2467,No,3.3,2024
SES-000512,ST-0101,18-10-2024,48.7,48.7,877,No,5,2024
SES-001392,ST-0061,23-07-2024,15.3,41.7,184,No,3.1,2024
SES-001289,ST-0097,02-05-2024,10.21,27.8,123,No,3.3,2024
SES-000745,ST-0156,12-11-2024,15.96,43.5,192,No,3.8,2024
SES-000181,ST-0223,09-02-2024,30.07,30.1,677.15,No,4.8,2024
SES-000739,ST-0177,03-11-2024,115.04,46,2531,No,4.4,2024
SES-001369,ST-0101,27-01-2024,29.82,29.8,537,No,3.7,2024
SES-000796,ST-0141,11-12-2024,14.33,39.1,172,No,4,2024
SES-000346,ST-0187,09-05-2024,2.78,50.6,22,No,3.9,2024
SES-001286,ST-0109,18-02-2024,56.57,22.6,1245,No,3.3,2024
SES-000263,ST-0228,27-10-2024,31.86,31.9,573,No,4.7,2024
SES-000369,ST-0206,10-07-2024,6.53,17.8,78,No,3.6,2024
SES-000193,ST-0023,30-06-2024,96.97,38.8,2133,No,3.8,2024
SES-000291,ST-0293,20-04-2024,1.49,27,12,No,4.2,2024
SES-001360,ST-0206,17-06-2024,15.1,41.2,181,No,3.7,2024
SES-000888,ST-0220,19-12-2024,7.27,19.8,87,No,4.8,2024
SES-000075,ST-0047,22-03-2024,7.88,21.5,95,No,3.3,2024
SES-000597,ST-0009,26-11-2024,46.63,46.6,839,No,3.7,2024
SES-000012,ST-0134,08-09-2024,91.2,36.5,2006,No,4.9,2024
SES-000180,ST-0189,11-11-2024,44.54,17.8,980,No,4.1,2024
SES-000514,ST-0011,02-08-2024,7.53,20.5,90,No,4.1,2024
SES-001342,ST-0092,12-01-2024,10.47,28.6,126,No,3.3,2024
SES-000377,ST-0103,17-04-2024,5.35,14.6,64,No,4,2024
SES-000289,ST-0028,24-09-2024,1.36,24.8,11,No,4.2,2024
SES-000057,ST-0003,03-10-2024,33.17,33.2,597,No,4.2,2024
SES-000385,ST-0220,18-02-2024,6.05,16.5,73,No,4.1,2024
SES-000501,ST-0273,08-05-2024,34.51,20.8,92,No,4.7,2024
SES-000838,ST-0174,21-10-2024,21.16,21.2,381,No,3.9,2024
SES-000232,ST-0079,25-12-2024,35.32,35.3,636,No,3.8,2024
SES-000238,ST-0132,14-12-2024,27.03,27,487,No,3.5,2024
SES-000176,ST-0230,12-09-2024,2.35,42.7,677.15,No,3.4,2024
SES-001378,ST-0177,25-11-2024,90.03,36,1981,No,4.3,2024
SES-000955,ST-0279,29-11-2024,3.01,54.8,24,No,4.4,2024
SES-001496,ST-0139,23-05-2024,14.39,39.3,173,No,4,2024
SES-000964,ST-0212,21-04-2024,115.07,46,2531,No,3,2024
SES-000968,ST-0079,12-05-2024,39.35,39.4,708,No,4.8,2024
SES-001371,ST-0247,06-11-2024,1.34,24.4,11,No,4.5,2024
SES-001500,ST-0117,28-12-2024,2.21,40.3,18,No,4.8,2024
SES-000265,ST-0273,21-02-2024,14.99,40.9,180,No,3.1,2024
SES-000292,ST-0201,26-09-2024,1.54,27.9,12,No,3.1,2024
SES-001297,ST-0177,22-01-2024,110.7,44.3,2435,No,4.4,2024
SES-000155,ST-0125,09-02-2024,40.48,40.5,729,No,3.9,2024
SES-001364,ST-0269,09-04-2024,1.78,32.3,14,No,3.2,2024
SES-000023,ST-0259,09-03-2024,22.5,22.5,405,No,4.8,2024
SES-001421,ST-0048,11-08-2024,79.11,31.6,1740,No,4.1,2024
SES-000867,ST-0098,04-05-2024,2.47,44.8,20,No,3.8,2024
SES-001047,ST-0063,06-11-2024,114.13,45.7,2511,No,4.3,2024
SES-000108,ST-0119,01-03-2024,1.25,22.8,10,No,3.7,2024
SES-000086,ST-0209,20-05-2024,17.56,47.9,211,No,3.9,2024
SES-000878,ST-0053,11-12-2024,13.63,37.2,164,No,3.1,2024
SES-000711,ST-0122,20-02-2024,109.58,43.8,2411,No,4.8,2024
SES-000459,ST-0036,14-04-2024,17.57,47.9,211,No,3.1,2024
SES-001258,ST-0276,13-07-2024,1.92,34.8,15,No,4,2024
SES-001062,ST-0041,06-09-2024,40.13,40.1,722,No,4.5,2024
SES-000410,ST-0202,13-02-2024,18.39,50.1,221,No,4.4,2024
SES-000175,ST-0254,22-01-2024,25.76,25.8,464,No,3.5,2024
SES-001080,ST-0009,13-09-2024,45.7,45.7,823,No,3.2,2024
SES-000953,ST-0144,26-09-2024,2.09,38,17,No,4.6,2024
SES-000596,ST-0152,09-03-2024,53.36,21.3,1174,No,3.4,2024
SES-000178,ST-0069,14-11-2024,1.48,27,12,No,4,2024
SES-001448,ST-0078,24-07-2024,89.97,36,1979,No,3.3,2024
SES-001268,ST-0211,11-03-2024,31.62,31.6,569,No,3.1,2024
SES-000539,ST-0072,21-12-2024,6.8,18.5,82,No,3.8,2024
SES-000616,ST-0071,05-02-2024,56.51,22.6,1243,No,3.3,2024
SES-000118,ST-0055,13-06-2024,48.67,48.7,876,No,3.1,2024
SES-000537,ST-0225,01-11-2024,34.51,17.4,76,No,3.9,2024
SES-001121,ST-0089,05-12-2024,1.96,35.6,16,No,3.3,2024
SES-001202,ST-0133,19-09-2024,1.32,24,11,No,4.9,2024
SES-000164,ST-0092,23-02-2024,13.37,36.5,160,No,4.9,2024
SES-000954,ST-0024,08-06-2024,47.67,47.7,858,No,4.5,2024
SES-001285,ST-0284,17-08-2024,58.13,23.3,1279,No,4.4,2024
SES-001292,ST-0101,06-03-2024,32.98,33,594,No,4.1,2024
SES-000379,ST-0131,15-12-2024,104.94,42,2309,No,4.5,2024
SES-000621,ST-0170,27-12-2024,2.29,41.7,677.15,No,3.3,2024
SES-001372,ST-0203,07-11-2024,20.08,20.1,361,No,3.4,2024
SES-000694,ST-0235,31-12-2024,18.62,50.8,223,No,4.1,2024
SES-001141,ST-0062,31-05-2024,12.48,34,150,No,3.5,2024
SES-001282,ST-0041,28-04-2024,43.35,43.3,780,No,4.4,2024
SES-001331,ST-0183,05-05-2024,12.6,34.4,151,No,3.6,2024
SES-000347,ST-0033,18-08-2024,117.04,46.8,2575,No,4.3,2024
SES-000305,ST-0291,25-11-2024,2.28,41.5,18,No,3.5,2024
SES-001215,ST-0250,29-05-2024,41.54,41.5,748,No,3.7,2024
SES-000586,ST-0221,12-08-2024,37.98,38,684,No,3.6,2024
SES-000027,ST-0211,25-10-2024,38.11,38.1,686,No,3.1,2024
SES-001049,ST-0066,16-08-2024,1.67,30.3,13,No,4.8,2024
SES-001044,ST-0062,02-01-2024,15.05,41,181,No,4.3,2024
SES-000136,ST-0112,12-10-2024,103.64,41.5,2280,No,3.1,2024
SES-000511,ST-0040,18-01-2024,2.95,53.7,24,No,4.4,2024
SES-001251,ST-0031,30-09-2024,28.44,28.4,512,No,4.9,2024
SES-000853,ST-0153,01-12-2024,2.08,37.9,17,No,3.9,2024
SES-000056,ST-0035,27-10-2024,2.41,43.8,19,No,3.2,2024
SES-000464,ST-0197,05-08-2024,47.3,47.3,677.15,No,3.7,2024
SES-001424,ST-0143,06-11-2024,35.22,35.2,677.15,No,3.8,2024
SES-000397,ST-0251,31-01-2024,62.58,25,1377,No,4.6,2024
SES-001456,ST-0142,26-08-2024,65.51,35.83,1441,No,4.7,2024
SES-001057,ST-0229,10-10-2024,13,35.5,156,No,4.7,2024
SES-001195,ST-0086,22-01-2024,39.52,39.5,711,No,3.7,2024
SES-000177,ST-0128,31-05-2024,94.23,37.7,2073,No,4,2024
SES-000571,ST-0109,02-05-2024,119.34,47.7,2625,No,3.6,2024
SES-000301,ST-0169,29-10-2024,119.04,47.6,2619,No,3,2024
SES-000564,ST-0240,03-12-2024,3.35,60.9,27,No,4.8,2024
SES-001255,ST-0270,01-06-2024,2.75,50,22,No,4.8,2024
SES-000079,ST-0296,03-11-2024,10.22,27.9,123,No,4.9,2024
SES-000727,ST-0211,14-05-2024,21.16,21.2,381,No,4.8,2024
SES-000051,ST-0136,07-12-2024,12.95,35.3,155,No,3.9,2024
SES-000657,ST-0292,11-07-2024,1.52,27.5,12,No,3.2,2024
SES-000562,ST-0193,27-06-2024,27.52,27.5,495,No,3.8,2024
SES-001008,ST-0201,20-07-2024,3.4,61.8,677.15,No,3.9,2024
SES-000372,ST-0060,02-11-2024,1.67,30.3,13,No,3.7,2024
SES-001207,ST-0057,19-06-2024,10.39,28.3,125,No,4.2,2024
SES-000894,ST-0157,26-04-2024,30.47,30.5,548,No,3.3,2024
SES-001230,ST-0213,30-05-2024,28.36,28.4,510,No,4.1,2024
SES-000383,ST-0235,05-11-2024,17.47,47.6,210,No,3.4,2024
SES-000373,ST-0036,08-06-2024,6.84,18.7,82,No,3.2,2024
SES-000960,ST-0263,06-08-2024,19.22,52.4,231,No,4.5,2024
SES-001007,ST-0162,14-04-2024,52.08,20.8,1146,No,3.6,2024
SES-000004,ST-0107,27-08-2024,22.21,22.2,400,No,4.6,2024
SES-000643,ST-0227,22-10-2024,32.07,32.1,577,No,3.5,2024
SES-000502,ST-0241,13-03-2024,3.59,65.2,29,No,4.4,2024
SES-000049,ST-0138,19-02-2024,46.31,18.5,1019,No,3.2,2024
SES-000124,ST-0144,18-12-2024,2.28,41.5,18,No,3.8,2024
SES-001309,ST-0096,27-05-2024,39.94,39.9,719,No,5,2024
SES-000226,ST-0224,06-06-2024,48.52,19.4,1067,No,4.9,2024
SES-001153,ST-0255,04-06-2024,3.31,60.1,26,No,4.5,2024
SES-000674,ST-0259,14-12-2024,31.45,31.4,566,No,3.5,2024
SES-001073,ST-0151,14-02-2024,37.41,37.4,673,No,4.6,2024
SES-000647,ST-0241,03-07-2024,3.64,66.3,29,No,3.6,2024
SES-000813,ST-0047,13-01-2024,19.07,52,229,No,3.6,2024
SES-000417,ST-0273,05-11-2024,19.63,53.5,236,No,3.2,2024
SES-001030,ST-0019,07-02-2024,26.46,26.5,476,No,3.1,2024
SES-000054,ST-0095,13-12-2024,14,38.2,168,No,3.7,2024
SES-001375,ST-0181,28-08-2024,3.2,58.1,26,No,3.3,2024
SES-000658,ST-0029,04-11-2024,18.5,50.4,222,No,4.6,2024
SES-001328,ST-0288,20-12-2024,18.34,50,220,No,3.3,2024
SES-001053,ST-0298,06-01-2024,88.59,35.4,1949,No,3.3,2024
SES-000778,ST-0042,30-11-2024,18.58,50.7,223,No,4.8,2024
SES-000104,ST-0215,26-12-2024,96.43,38.6,2121,No,3.6,2024
SES-000661,ST-0212,13-08-2024,55.51,22.2,1221,No,3.5,2024
SES-000340,ST-0242,04-06-2024,75.89,30.4,1670,No,4.8,2024
SES-000928,ST-0180,27-01-2024,11.87,32.4,142,No,4.8,2024
SES-001021,ST-0237,22-10-2024,1.57,28.5,13,No,3.5,2024
SES-000025,ST-0015,12-03-2024,119.56,47.8,2630,No,5,2024
SES-000095,ST-0198,24-07-2024,1.06,19.3,9,No,4.7,2024
SES-000901,ST-0040,27-11-2024,1.44,26.2,12,No,3.7,2024
SES-001013,ST-0189,23-09-2024,71.87,28.7,1581,No,5,2024
SES-000243,ST-0229,02-01-2024,17.1,46.6,205,No,4.2,2024
SES-000074,ST-0033,23-10-2024,111.99,44.8,2464,No,4.6,2024
SES-001311,ST-0206,25-03-2024,11.03,30.1,132,No,4.4,2024
SES-001273,ST-0164,14-04-2024,48.96,49,881,No,4.1,2024
SES-000521,ST-0148,22-10-2024,9.62,26.2,115,No,5,2024
SES-000714,ST-0068,08-11-2024,3.05,55.5,24,No,3.9,2024
SES-000993,ST-0162,21-11-2024,79.2,31.7,1742,No,3.8,2024
SES-001094,ST-0184,30-01-2024,3.25,59.1,26,No,3.7,2024
SES-001103,ST-0029,28-08-2024,34.51,25.6,113,No,4.6,2024
SES-000517,ST-0248,12-10-2024,1.65,30,13,No,3.4,2024
SES-000267,ST-0057,13-06-2024,5.24,14.3,63,No,3.2,2024
SES-001034,ST-0018,13-06-2024,16.12,44,193,No,3,2024
SES-000584,ST-0011,01-07-2024,17.4,47.4,209,No,4.4,2024
SES-000167,ST-0092,19-01-2024,17.8,48.6,214,No,4.6,2024
SES-000332,ST-0029,30-09-2024,16.73,45.6,201,No,3.1,2024
