Location_ID,State,City,Estimated_EV_Density,Land_Cost_INR,Estimated_Setup_Cost_INR,Total_Investment_INR,Expected_Daily_Users,Expected_Monthly_Rev_INR,Expected_Annual_Rev_INR,ROI_Percentage,Priority_Score,ROI_Band
LOC-0166,Delhi,New Delhi,97.0,373000.0,1826000.0,2199000,75,369500,4434000,186.6,45.3,🏆 Excellent
LOC-0182,Tamil Nadu,Madurai,108.0,548000.0,4242000.0,4790000,25,52300,627600,-1.9,80.1,❌ Low ROI
LOC-0101,Rajasthan,Ajmer,,,2625000.0,4070000,82,387000,4644000,99.1,77.6,🏆 Excellent
LOC-0115,Haryana,Panipat,107.0,934000.0,2784000.0,3718000,41,126000,1512000,25.7,63.3,⚠️ Moderate
LOC-0029,Maharashtra,Aurangabad,33.0,1387000.0,2935000.0,4322000,35,68600,823200,4.0,79.4,❌ Low ROI
LOC-0042,Uttar Pradesh,Kanpur,48.0,1571000.0,3515000.0,5086000,14,36800,441600,-6.3,93.1,❌ Low ROI
LOC-0072,Delhi,Dwarka,47.0,501000.0,4007000.0,4508000,39,105700,1268400,13.1,83.1,❌ Low ROI
LOC-0080,Punjab,Patiala,37.0,969000.0,4149000.0,5118000,70,156300,1875600,21.6,94.6,❌ Low ROI
LOC-0006,Delhi,Faridabad,48.0,491000.0,2272000.0,2763000,40,119300,1431600,36.8,85.1,⚠️ Moderate
LOC-0162,Telangana,Hyderabad,138.0,216000.0,4338000.0,4554000,49,206300,2475600,39.4,56.8,⚠️ Moderate
LOC-0127,Rajasthan,Jaipur,63.0,513000.0,4187000.0,4700000,26,57100,685200,-0.4,68.4,❌ Low ROI
LOC-0012,Uttar Pradesh,Allahabad,244.0,567000.0,2743000.0,3310000,55,103700,1244400,22.6,70.8,❌ Low ROI
LOC-0190,Haryana,Faridabad,183.0,,2044000.0,3253000,42,188000,2256000,54.4,72.8,✅ Strong
LOC-0025,Madhya Pradesh,Ujjain,91.0,302000.0,4002000.0,4304000,36,119600,1435200,18.3,64.8,❌ Low ROI
LOC-0093,Rajasthan,Udaipur,89.0,310000.0,4149000.0,4459000,133,665000,7980000,164.0,94.8,🏆 Excellent
LOC-0180,Karnataka,Mysuru,53.0,1853000.0,3998000.0,5851000,38,98200,1178400,5.1,90.9,❌ Low ROI
LOC-0009,West Bengal,Asansol,114.0,1027000.0,2418000.0,3445000,20,47100,565200,1.4,57.4,❌ Low ROI
LOC-0175,Karnataka,Hubli,84.0,908000.0,4767000.0,5675000,98,426200,5114400,75.1,43.8,✅ Strong
LOC-0193,Telangana,Karimnagar,58.0,1256000.0,3155000.0,4411000,34,142300,1707600,23.7,80.8,❌ Low ROI
LOC-0187,Rajasthan,Kota,164.0,554000.0,1140000.0,1694000,38,202300,2427600,128.3,86.6,🏆 Excellent
LOC-0143,Maharashtra,Thane,135.0,352000.0,1849000.0,2201000,36,171100,2053200,78.3,82.4,✅ Strong
LOC-0196,Rajasthan,Kota,149.0,1018000.0,4136000.0,5154000,26,128800,1545600,15.0,87.0,❌ Low ROI
LOC-0086,Tamil Nadu,Coimbatore,,389000.0,1265000.0,1654000,30,127800,1533600,77.7,82.9,✅ Strong
LOC-0109,Uttar Pradesh,Allahabad,129.0,1945000.0,,6934000,33,151800,1821600,11.3,63.0,❌ Low ROI
LOC-0110,Punjab,Chandigarh,62.0,481000.0,2548000.0,3029000,40,108600,1303200,28.0,89.1,⚠️ Moderate
LOC-0112,West Bengal,Asansol,51.0,944000.0,4379000.0,5323000,45,194500,2334000,28.8,77.5,⚠️ Moderate
LOC-0155,Andhra Pradesh,Visakhapatnam,152.0,759000.0,1144000.0,1903000,68,206500,2478000,115.2,60.3,🏆 Excellent
LOC-0114,Tamil Nadu,Chennai,265.0,1462000.0,2118000.0,3580000,44,226800,2721600,61.0,65.2,✅ Strong
LOC-0041,Delhi,Noida,41.0,1325000.0,1185000.0,2510000,21,55800,669600,11.7,84.2,❌ Low ROI
LOC-0136,Maharashtra,Mumbai,1199.23519619589,1406000.0,1728000.0,3134000,66,336100,4033200,113.7,59.1,🏆 Excellent
LOC-0079,Kerala,Kozhikode,72.0,1889000.0,3827000.0,5716000,138,402200,4826400,69.4,85.0,✅ Strong
LOC-0002,Maharashtra,Thane,18.0,483000.0,3339000.0,3822000,19,95600,1147200,15.0,65.6,❌ Low ROI
LOC-0116,Haryana,Ambala,55.0,1539000.0,2162000.0,3701000,113,286000,3432000,77.7,51.1,✅ Strong
LOC-0195,Tamil Nadu,Tiruchirappalli,326.0,220000.0,2408000.0,2628000,55,164500,1974000,60.1,73.4,✅ Strong
LOC-0152,Haryana,Yamunanagar,126.0,1943000.0,3327000.0,5270000,18,87800,1053600,5.0,51.3,❌ Low ROI
LOC-0194,Tamil Nadu,Madurai,48.0,343000.0,4119000.0,4462000,50,93600,1123200,10.2,82.3,❌ Low ROI
LOC-0191,Andhra Pradesh,Vijayawada,98.0,641000.0,4588000.0,5229000,58,221500,2658000,35.8,69.9,⚠️ Moderate
LOC-0095,Gujarat,Gandhinagar,148.0,1969000.0,2935000.0,4904000,97,502900,6034800,108.1,92.5,🏆 Excellent
LOC-0037,West Bengal,Howrah,100.0,1514000.0,4178000.0,5692000,44,150800,1809600,16.8,57.2,❌ Low ROI
LOC-0174,West Bengal,Durgapur,186.0,782000.0,2312000.0,3094000,32,166100,1993200,49.4,42.3,⚠️ Moderate
LOC-0154,Madhya Pradesh,Ujjain,124.0,1434000.0,4989000.0,6423000,41,158300,1899600,14.6,79.0,❌ Low ROI
LOC-0063,Delhi,Noida,30.0,398000.0,4150000.0,4548000,71,273200,3278400,57.1,55.0,✅ Strong
LOC-0001,Haryana,Faridabad,151.0,813000.0,1904000.0,2717000,30,74500,894000,17.9,79.6,❌ Low ROI
LOC-0028,Telangana,Nizamabad,31.0,861000.0,2015000.0,2876000,56,191600,2299200,64.9,85.0,✅ Strong
LOC-0160,West Bengal,Kolkata,92.0,420000.0,4466000.0,4886000,35,186800,2241600,30.9,40.7,⚠️ Moderate
LOC-0119,Gujarat,Gandhinagar,342.0,496000.0,4724000.0,5220000,81,304100,3649200,54.9,43.2,✅ Strong
LOC-0167,Tamil Nadu,Salem,89.0,1024000.0,,4895000,38,75400,904800,3.5,78.0,❌ Low ROI
LOC-0021,Tamil Nadu,Coimbatore,37.0,792000.0,4706000.0,5498000,43,199400,2392800,28.5,89.0,⚠️ Moderate
LOC-0161,Madhya Pradesh,Jabalpur,72.0,483000.0,1357000.0,1840000,67,289700,3476400,173.9,87.9,🏆 Excellent
LOC-0159,Kerala,Kozhikode,83.0,615000.0,3473000.0,4088000,73,237300,2847600,54.7,87.9,✅ Strong
LOC-0145,Andhra Pradesh,Vijayawada,61.0,351000.0,3654000.0,4005000,61,238300,2859600,56.4,54.8,✅ Strong
LOC-0078,Punjab,Patiala,91.0,1993000.0,3209000.0,5202000,50,268900,3226800,47.0,63.3,⚠️ Moderate
LOC-0031,Delhi,Faridabad,103.0,1197000.0,4022000.0,5219000,91,273800,3285600,48.0,90.1,⚠️ Moderate
LOC-0157,Haryana,Panipat,79.0,1682000.0,4394000.0,6076000,84,421400,5056800,68.2,42.7,✅ Strong
LOC-0018,Punjab,Ludhiana,73.0,1324000.0,4848000.0,6172000,41,99400,1192800,4.3,46.4,❌ Low ROI
LOC-0060,Gujarat,Vadodara,307.0,1677000.0,3647000.0,5324000,62,322300,3867600,57.6,76.2,✅ Strong
LOC-0184,Punjab,Amritsar,109.0,1642000.0,1013000.0,2655000,23,77800,933600,20.2,78.5,❌ Low ROI
LOC-0153,Delhi,Dwarka,74.0,550000.0,3308000.0,3858000,37,115300,1383600,20.9,53.4,❌ Low ROI
LOC-0144,Maharashtra,Nagpur,62.0,1588000.0,1667000.0,3255000,39,205700,2468400,60.8,54.2,✅ Strong
LOC-0141,Haryana,Yamunanagar,152.0,643000.0,2469000.0,3112000,37,96700,1160400,22.3,86.8,❌ Low ROI
LOC-0165,Tamil Nadu,Vellore,95.0,825000.0,2893000.0,3718000,28,67400,808800,6.8,86.1,❌ Low ROI
LOC-0094,West Bengal,Kolkata,154.0,1139000.0,2028000.0,3167000,26,94600,1135200,20.8,59.9,❌ Low ROI
LOC-0121,Telangana,Karimnagar,395.0,1045000.0,935000.0,1980000,24,91900,1102800,40.7,40.9,⚠️ Moderate
LOC-0022,Uttar Pradesh,Lucknow,177.0,1828000.0,3785000.0,5613000,36,97400,1168800,5.8,91.2,❌ Low ROI
LOC-0056,Maharashtra,Kolhapur,88.0,715000.0,1654000.0,2369000,44,208300,2499600,90.5,90.4,🏆 Excellent
LOC-0017,Telangana,Warangal,79.0,683000.0,3058000.0,3741000,67,189700,2276400,45.9,42.5,⚠️ Moderate
LOC-0148,Haryana,Gurugram,81.0,341000.0,3522000.0,3863000,31,94300,1131600,14.3,91.7,❌ Low ROI
LOC-0092,Telangana,Nizamabad,38.0,692000.0,1761000.0,2453000,53,102700,1232400,35.2,49.7,⚠️ Moderate
LOC-0100,Haryana,Yamunanagar,39.0,892000.0,3210000.0,4102000,88,254600,3055200,59.5,87.1,✅ Strong
LOC-0124,Uttar Pradesh,Agra,122.0,1040000.0,,2277000,36,90100,1081200,32.5,48.9,⚠️ Moderate
LOC-0200,Delhi,Faridabad,150.0,392000.0,4395000.0,4787000,58,220900,2650800,40.4,84.5,⚠️ Moderate
LOC-0075,Punjab,Patiala,183.0,1256000.0,1769000.0,3025000,29,72500,870000,13.8,79.3,❌ Low ROI
LOC-0128,Rajasthan,Udaipur,49.0,673000.0,1995000.0,2668000,47,116100,1393200,37.2,57.4,⚠️ Moderate
LOC-0164,Haryana,Yamunanagar,136.0,1622000.0,996000.0,2618000,81,211300,2535600,81.9,54.6,🏆 Excellent
LOC-0147,Karnataka,Mangaluru,211.0,439000.0,2619000.0,3058000,48,152600,1831200,44.9,92.5,⚠️ Moderate
LOC-0199,Tamil Nadu,Madurai,88.0,704000.0,3082000.0,3786000,73,274000,3288000,71.8,49.3,✅ Strong
LOC-0088,Haryana,Gurugram,77.0,1971000.0,2174000.0,4145000,21,43600,523200,-2.4,56.9,❌ Low ROI
LOC-0091,West Bengal,Asansol,173.0,917000.0,3707000.0,4624000,21,39900,478800,-4.6,45.2,❌ Low ROI
LOC-0085,Punjab,Patiala,40.0,785000.0,3993000.0,4778000,64,216700,2600400,39.4,55.1,⚠️ Moderate
LOC-0019,Tamil Nadu,Tiruchirappalli,33.0,1043000.0,1973000.0,3016000,27,137300,1647600,39.6,71.2,⚠️ Moderate
LOC-0098,Andhra Pradesh,Tirupati,219.0,472000.0,4019000.0,4491000,51,259700,3116400,54.4,82.4,✅ Strong
LOC-0102,Karnataka,Belagavi,137.0,408000.0,4051000.0,4459000,45,171400,2056800,31.1,62.5,⚠️ Moderate
LOC-0126,Maharashtra,Aurangabad,84.0,1245000.0,1087000.0,2332000,24,72600,871200,22.4,45.7,❌ Low ROI
LOC-0062,Gujarat,Vadodara,36.0,970000.0,4872000.0,5842000,54,207200,2486400,27.6,78.6,⚠️ Moderate
LOC-0082,Gujarat,Surat,26.0,1904000.0,2744000.0,4648000,53,234100,2809200,45.4,40.7,⚠️ Moderate
LOC-0069,Karnataka,Belagavi,113.0,1047000.0,1058000.0,2105000,85,193000,2316000,95.0,79.3,🏆 Excellent
LOC-0130,Kerala,Kozhikode,201.0,1341000.0,3412000.0,4753000,50,129900,1558800,17.8,62.9,❌ Low ROI
LOC-0057,Kerala,Thiruvananthapuram,45.0,1525000.0,1740000.0,3265000,39,165300,1983600,45.8,93.2,⚠️ Moderate
LOC-0020,Andhra Pradesh,Visakhapatnam,239.0,555000.0,817000.0,1372000,46,165000,1980000,129.3,78.8,🏆 Excellent
LOC-0087,Tamil Nadu,Salem,36.0,1565000.0,2609000.0,4174000,49,209200,2510400,45.1,46.0,⚠️ Moderate
LOC-0071,Andhra Pradesh,Vijayawada,38.0,,3734000.0,5530000,66,173600,2083200,22.7,78.8,❌ Low ROI
LOC-0138,Kerala,Thrissur,54.0,1165000.0,1285000.0,2450000,49,178400,2140800,72.4,54.9,✅ Strong
LOC-0061,Madhya Pradesh,Bhopal,22.0,802000.0,2313000.0,3115000,39,115800,1389600,29.6,78.2,⚠️ Moderate
LOC-0035,Kerala,Thiruvananthapuram,156.0,1392000.0,4490000.0,5882000,29,86400,1036800,2.6,90.8,❌ Low ROI
LOC-0041,Delhi,Noida,41.0,1325000.0,1185000.0,2510000,21,55800,669600,11.7,84.2,❌ Low ROI
LOC-0139,Uttar Pradesh,Kanpur,66.0,1200000.0,2315000.0,3515000,56,275600,3307200,79.1,63.0,✅ Strong
LOC-0077,Rajasthan,Ajmer,100.0,1718000.0,3292000.0,5010000,28,92500,1110000,7.2,69.3,❌ Low ROI
LOC-0156,Rajasthan,Bikaner,201.0,208000.0,3940000.0,4148000,32,91700,1100400,11.5,74.3,❌ Low ROI
LOC-0027,Andhra Pradesh,Kurnool,52.0,296000.0,4691000.0,4987000,11,27600,331200,-8.4,78.8,❌ Low ROI
LOC-0033,West Bengal,Durgapur,50.0,290000.0,2980000.0,3270000,48,136300,1635600,35.0,64.5,⚠️ Moderate
LOC-0198,Delhi,Dwarka,114.0,1203000.0,1203000.0,2406000,102,208100,2497200,88.8,40.8,🏆 Excellent
LOC-0097,Punjab,Jalandhar,39.0,645000.0,1739000.0,2384000,34,139500,1674000,55.2,44.2,✅ Strong
LOC-0084,Gujarat,Ahmedabad,46.0,574000.0,2608000.0,3182000,93,484800,5817600,167.8,92.1,🏆 Excellent
LOC-0111,Madhya Pradesh,Bhopal,92.0,1032000.0,3503000.0,4535000,25,130700,1568400,19.6,58.3,❌ Low ROI
LOC-0106,Andhra Pradesh,Vijayawada,94.0,1811000.0,1067000.0,2878000,21,111900,1342800,31.7,48.0,⚠️ Moderate
LOC-0074,Karnataka,Mysuru,45.0,549000.0,2146000.0,2695000,38,153500,1842000,53.3,59.6,✅ Strong
LOC-0118,Andhra Pradesh,Tirupati,48.0,1599000.0,1185000.0,2784000,42,143900,1726800,47.0,87.2,⚠️ Moderate
LOC-0151,Rajasthan,Jaipur,114.0,1540000.0,1311000.0,2851000,66,242400,2908800,87.0,52.4,🏆 Excellent
LOC-0146,Haryana,Faridabad,78.0,1713000.0,2473000.0,4186000,54,182400,2188800,37.3,53.1,⚠️ Moderate
LOC-0158,Andhra Pradesh,Vijayawada,60.0,1074000.0,1372000.0,2446000,28,130900,1570800,49.2,92.3,⚠️ Moderate
LOC-0059,Madhya Pradesh,Ujjain,60.0,586000.0,2619000.0,3205000,38,127200,1526400,32.6,94.5,⚠️ Moderate
LOC-0137,Haryana,Ambala,48.0,443000.0,1869000.0,2312000,30,118500,1422000,46.5,55.4,⚠️ Moderate
LOC-0040,West Bengal,Siliguri,208.0,521000.0,3514000.0,4035000,26,137500,1650000,25.9,59.5,⚠️ Moderate
LOC-0050,Karnataka,Bengaluru,15.0,533000.0,4830000.0,5363000,104,246400,2956800,40.1,79.2,⚠️ Moderate
LOC-0189,Gujarat,Vadodara,52.0,1072000.0,1426000.0,2498000,35,79700,956400,23.3,66.0,❌ Low ROI
LOC-0133,Telangana,Hyderabad,123.0,1916000.0,3479000.0,5395000,38,202500,2430000,30.0,40.2,⚠️ Moderate
LOC-0051,Delhi,Faridabad,88.0,758000.0,2833000.0,3591000,29,149300,1791600,34.9,55.5,⚠️ Moderate
LOC-0053,Andhra Pradesh,Visakhapatnam,63.0,1954000.0,950000.0,2904000,58,107400,1288800,29.4,92.8,⚠️ Moderate
LOC-0081,Madhya Pradesh,Jabalpur,223.0,1930000.0,4193000.0,6123000,13,64300,771600,-2.4,68.9,❌ Low ROI
LOC-0188,Karnataka,Shivamogga,126.0,737000.0,2907000.0,3644000,23,114600,1375200,22.7,89.6,❌ Low ROI
LOC-0122,Tamil Nadu,Vellore,,1164000.0,2700000.0,3864000,72,386800,4641600,105.1,45.5,🏆 Excellent
LOC-0192,Delhi,New Delhi,112.0,1350000.0,1740000.0,3090000,26,137800,1653600,38.5,92.1,⚠️ Moderate
LOC-0047,Maharashtra,Thane,276.0,1265000.0,1990000.0,3255000,24,74100,889200,12.3,81.7,❌ Low ROI
LOC-0089,Rajasthan,Jaipur,82.0,348000.0,869000.0,1217000,13,35500,426000,20.0,70.5,❌ Low ROI
LOC-0070,Tamil Nadu,Chennai,208.0,812000.0,1927000.0,2739000,57,290800,3489600,112.4,81.5,🏆 Excellent
LOC-0068,West Bengal,Howrah,94.0,1728000.0,4891000.0,6619000,48,169900,2038800,15.8,76.8,❌ Low ROI
LOC-0186,Gujarat,Bhavnagar,25.0,1905000.0,1044000.0,2949000,102,533100,6397200,201.9,41.0,🏆 Excellent
LOC-0059,Madhya Pradesh,Ujjain,60.0,586000.0,2619000.0,3205000,38,127200,1526400,32.6,94.5,⚠️ Moderate
LOC-0034,Kerala,Kozhikode,122.0,377000.0,4925000.0,5302000,45,168200,2018400,23.1,84.9,❌ Low ROI
LOC-0039,Andhra Pradesh,Guntur,83.0,1847000.0,1871000.0,3718000,44,188100,2257200,45.7,80.5,⚠️ Moderate
LOC-0104,Tamil Nadu,Vellore,317.0,1153000.0,3266000.0,4419000,96,213200,2558400,42.9,52.0,⚠️ Moderate
LOC-0052,Gujarat,Surat,46.0,855000.0,1412000.0,2267000,30,127500,1530000,52.5,80.8,✅ Strong
LOC-0108,West Bengal,Asansol,167.0,1241000.0,1175000.0,2416000,62,256700,3080400,112.5,68.4,🏆 Excellent
LOC-0171,Telangana,Warangal,225.0,806000.0,4701000.0,5507000,72,196300,2355600,27.8,79.9,⚠️ Moderate
LOC-0005,Haryana,Gurugram,75.0,354000.0,2391000.0,2745000,47,230300,2763600,85.7,74.2,🏆 Excellent
LOC-0103,Haryana,Faridabad,27.0,882000.0,1393000.0,2275000,29,122400,1468800,49.6,59.9,⚠️ Moderate
LOC-0168,Maharashtra,Aurangabad,237.0,1632000.0,1687000.0,3319000,76,267900,3214800,81.9,69.5,🏆 Excellent
LOC-0038,Punjab,Patiala,104.0,1078000.0,4216000.0,5294000,78,352100,4225200,64.8,87.7,✅ Strong
LOC-0117,Punjab,Chandigarh,153.0,544000.0,1813000.0,2357000,54,227500,2730000,100.8,74.1,🏆 Excellent
LOC-0125,West Bengal,Howrah,88.0,374000.0,1799000.0,2173000,21,98400,1180800,39.3,69.7,⚠️ Moderate
LOC-0149,Maharashtra,Kolhapur,64.0,1847000.0,1702000.0,3549000,65,295800,3549600,85.0,46.2,🏆 Excellent
LOC-0032,Madhya Pradesh,Gwalior,82.0,1309000.0,3477000.0,4786000,111,342900,4114800,71.0,63.3,✅ Strong
LOC-0064,Kerala,Kozhikode,36.0,610000.0,4043000.0,4653000,58,290300,3483600,59.9,87.4,✅ Strong
LOC-0048,Telangana,Warangal,71.0,1765000.0,4331000.0,6096000,38,81100,973200,1.0,90.0,❌ Low ROI
LOC-0197,Gujarat,Surat,115.0,1066000.0,2080000.0,3146000,67,292000,3504000,96.4,51.6,🏆 Excellent
LOC-0096,Telangana,Nizamabad,71.0,616000.0,2270000.0,2886000,58,310300,3723600,114.0,48.4,🏆 Excellent
LOC-0178,Kerala,Thrissur,303.0,791000.0,2731000.0,3522000,34,124700,1496400,27.5,63.5,⚠️ Moderate
LOC-0163,Karnataka,Mysuru,48.0,1339000.0,1985000.0,3324000,42,108600,1303200,24.2,75.6,❌ Low ROI
LOC-0008,Punjab,Jalandhar,61.0,1615000.0,4487000.0,6102000,20,97700,1172400,4.2,84.0,❌ Low ROI
LOC-0105,Haryana,Panipat,91.0,1226000.0,3766000.0,4992000,91,176500,2118000,27.4,83.8,⚠️ Moderate
LOC-0076,Kerala,Thrissur,211.0,578000.0,1088000.0,1666000,57,134300,1611600,81.7,50.5,🏆 Excellent
LOC-0044,Andhra Pradesh,Vijayawada,180.0,347000.0,3466000.0,3813000,27,59700,716400,3.8,60.7,❌ Low ROI
LOC-0023,Maharashtra,Solapur,37.0,901000.0,1133000.0,2034000,39,124900,1498800,58.7,52.6,✅ Strong
LOC-0073,Delhi,Gurugram,49.0,588000.0,4752000.0,5340000,68,365600,4387200,67.2,80.6,✅ Strong
LOC-0016,Andhra Pradesh,Visakhapatnam,65.0,697000.0,3136000.0,3833000,49,197100,2365200,46.7,75.6,⚠️ Moderate
LOC-0169,Kerala,Thiruvananthapuram,26.0,209000.0,1851000.0,2060000,54,174300,2091600,86.5,66.7,🏆 Excellent
